4 servers, 4,000 total requests
algorithm	concurrency	min	mean	[+/-sd]	median	max

control		10		0	107	123.4	103	1614
round_robin	10		1	103	99.5	103	607
least_conn	10		1	104	101.4	104	608
random		10		0	102	100.2	103	708
two_choices	10		1	101	99.5	103	606

control		50		1	103	99.8	103	641
round_robin	50		1	121	176.0	105	2464
least_conn	50		1	122	484.7	103	13647
random		50		1	104	101.0	104	619
two_choices	50		1	137	609.9	104	13674

control		100		1	124	279.7	105	5374
round_robin	100		1	183	885.4	107	13809
least_conn	100		1	133	375.7	105	8113
random		100		1	167	811.9	105	13681
two_choices	100		1	147	339.5	106	5792

------------------------------------------------------------------

8 servers, 4,000 total requests
algorithm	concurrency	min	mean	[+/-sd]	median	max

control		10		1	107	123.6	103	1351
round_robin	10		1	106	102.5	105	607
least_conn	10		0	103	102.4	105	605
random		10		1	106	103.8	104	707
two_choices	10		0	101	100.6	104	603

control		50		1	108	103.0	103	613
round_robin	50		1	245	742.1	111	7187
least_conn	50		1	109	185.2	104	7100
random		50		1	187	321.4	118	3047
two_choices	50		1	146	257.6	106	4473


control		100		1	164	205.1	118	3186
round_robin	100		1	194	559.5	108	14004
least_conn	100		1	177	416.8	119	11747
random		100		1	212	559.0	132	13673
two_choices	100		1	187	334.4	115	3340
