starttime	seconds	ctime	dtime	ttime	wait
Fri Nov 24 22:25:14 2017	1511583914	41	42	83	42
Fri Nov 24 22:26:09 2017	1511583969	41	42	83	42
Fri Nov 24 22:25:38 2017	1511583938	42	42	84	42
Fri Nov 24 22:25:48 2017	1511583948	42	42	84	42
Fri Nov 24 22:25:03 2017	1511583903	42	42	84	42
Fri Nov 24 22:25:24 2017	1511583924	42	43	85	43
Fri Nov 24 22:25:07 2017	1511583907	43	42	85	42
Fri Nov 24 22:25:23 2017	1511583923	44	41	85	41
Fri Nov 24 22:26:15 2017	1511583975	42	42	85	42
Fri Nov 24 22:26:12 2017	1511583972	42	43	85	43
Fri Nov 24 22:26:03 2017	1511583963	41	43	85	43
Fri Nov 24 22:25:31 2017	1511583931	42	43	85	43
Fri Nov 24 22:25:31 2017	1511583931	42	42	85	42
Fri Nov 24 22:26:27 2017	1511583987	43	42	85	42
Fri Nov 24 22:25:05 2017	1511583905	43	42	85	42
Fri Nov 24 22:26:22 2017	1511583982	42	42	85	42
Fri Nov 24 22:25:37 2017	1511583937	42	43	85	43
Fri Nov 24 22:25:01 2017	1511583901	44	41	85	41
Fri Nov 24 22:25:12 2017	1511583912	43	42	85	42
Fri Nov 24 22:26:31 2017	1511583991	42	42	85	42
Fri Nov 24 22:25:48 2017	1511583948	43	42	85	42
Fri Nov 24 22:25:51 2017	1511583951	42	43	85	43
Fri Nov 24 22:25:07 2017	1511583907	43	42	85	42
Fri Nov 24 22:25:53 2017	1511583953	43	43	85	42
Fri Nov 24 22:25:11 2017	1511583911	43	42	85	42
Fri Nov 24 22:25:42 2017	1511583942	44	42	85	42
Fri Nov 24 22:26:00 2017	1511583960	44	41	85	41
Fri Nov 24 22:25:06 2017	1511583906	44	42	86	41
Fri Nov 24 22:25:53 2017	1511583953	42	44	86	44
Fri Nov 24 22:25:35 2017	1511583935	43	43	86	43
Fri Nov 24 22:25:10 2017	1511583910	44	41	86	41
Fri Nov 24 22:25:03 2017	1511583903	45	41	86	41
Fri Nov 24 22:25:39 2017	1511583939	43	43	86	43
Fri Nov 24 22:26:17 2017	1511583977	43	43	86	43
Fri Nov 24 22:26:31 2017	1511583991	42	44	86	44
Fri Nov 24 22:26:32 2017	1511583992	44	42	86	41
Fri Nov 24 22:26:16 2017	1511583976	45	41	86	41
Fri Nov 24 22:25:59 2017	1511583959	45	41	86	41
Fri Nov 24 22:25:02 2017	1511583902	45	41	86	41
Fri Nov 24 22:25:48 2017	1511583948	44	41	86	41
Fri Nov 24 22:25:36 2017	1511583936	42	44	86	44
Fri Nov 24 22:25:33 2017	1511583933	44	42	86	42
Fri Nov 24 22:25:31 2017	1511583931	43	43	86	43
Fri Nov 24 22:25:24 2017	1511583924	44	42	86	42
Fri Nov 24 22:25:40 2017	1511583940	43	43	86	43
Fri Nov 24 22:25:52 2017	1511583952	43	43	86	43
Fri Nov 24 22:25:07 2017	1511583907	43	43	86	43
Fri Nov 24 22:25:06 2017	1511583906	42	44	86	44
Fri Nov 24 22:26:16 2017	1511583976	44	42	86	42
Fri Nov 24 22:25:25 2017	1511583925	45	41	86	41
Fri Nov 24 22:25:58 2017	1511583958	44	42	86	42
Fri Nov 24 22:25:11 2017	1511583911	43	43	86	43
Fri Nov 24 22:25:37 2017	1511583937	42	44	86	44
Fri Nov 24 22:26:25 2017	1511583985	43	43	86	43
Fri Nov 24 22:25:08 2017	1511583908	42	44	86	44
Fri Nov 24 22:25:34 2017	1511583934	43	43	86	43
Fri Nov 24 22:25:40 2017	1511583940	43	43	86	43
Fri Nov 24 22:26:17 2017	1511583977	43	43	86	43
Fri Nov 24 22:25:33 2017	1511583933	44	42	86	42
Fri Nov 24 22:25:08 2017	1511583908	45	41	86	41
Fri Nov 24 22:26:23 2017	1511583983	43	43	86	43
Fri Nov 24 22:25:53 2017	1511583953	42	45	86	45
