starttime	seconds	ctime	dtime	ttime	wait
Fri Nov 24 23:16:41 2017	1511587001	0	1	1	0
Fri Nov 24 23:16:41 2017	1511587001	0	1	1	0
Fri Nov 24 23:16:41 2017	1511587001	0	1	1	0
Fri Nov 24 23:16:41 2017	1511587001	0	1	1	0
Fri Nov 24 23:16:41 2017	1511587001	0	1	1	0
Fri Nov 24 23:16:41 2017	1511587001	0	1	1	0
Fri Nov 24 23:16:41 2017	1511587001	0	1	1	0
Fri Nov 24 23:16:41 2017	1511587001	0	1	1	0
Fri Nov 24 23:16:40 2017	1511587000	0	1	1	0
Fri Nov 24 23:16:41 2017	1511587001	0	1	1	0
Fri Nov 24 23:16:40 2017	1511587000	0	1	1	0
Fri Nov 24 23:15:29 2017	1511586929	0	1	1	0
Fri Nov 24 23:17:01 2017	1511587021	0	1	1	0
Fri Nov 24 23:16:38 2017	1511586998	0	1	1	0
Fri Nov 24 23:16:04 2017	1511586964	0	1	1	0
Fri Nov 24 23:16:01 2017	1511586961	0	1	1	0
Fri Nov 24 23:16:01 2017	1511586961	0	1	1	0
Fri Nov 24 23:16:39 2017	1511586999	0	1	1	0
Fri Nov 24 23:17:02 2017	1511587022	0	1	1	0
Fri Nov 24 23:16:40 2017	1511587000	0	1	1	0
Fri Nov 24 23:16:41 2017	1511587001	0	1	1	0
Fri Nov 24 23:16:40 2017	1511587000	0	1	1	0
Fri Nov 24 23:16:40 2017	1511587000	0	1	1	1
Fri Nov 24 23:16:41 2017	1511587001	0	1	1	1
Fri Nov 24 23:16:04 2017	1511586964	0	1	1	0
Fri Nov 24 23:16:04 2017	1511586964	0	1	1	0
Fri Nov 24 23:16:40 2017	1511587000	0	1	1	0
Fri Nov 24 23:16:41 2017	1511587001	0	1	1	1
Fri Nov 24 23:16:41 2017	1511587001	0	1	1	0
Fri Nov 24 23:16:01 2017	1511586961	0	1	1	1
Fri Nov 24 23:16:39 2017	1511586999	0	1	1	1
Fri Nov 24 23:15:31 2017	1511586931	0	1	1	1
Fri Nov 24 23:16:36 2017	1511586996	0	1	1	0
Fri Nov 24 23:16:42 2017	1511587002	0	1	1	1
Fri Nov 24 23:16:40 2017	1511587000	0	1	1	1
Fri Nov 24 23:15:54 2017	1511586954	0	1	1	1
Fri Nov 24 23:16:41 2017	1511587001	0	1	1	0
Fri Nov 24 23:16:41 2017	1511587001	0	1	1	1
Fri Nov 24 23:16:38 2017	1511586998	0	1	1	0
Fri Nov 24 23:16:41 2017	1511587001	0	1	1	0
Fri Nov 24 23:16:40 2017	1511587000	0	1	1	0
Fri Nov 24 23:16:41 2017	1511587001	0	1	1	1
Fri Nov 24 23:16:38 2017	1511586998	0	1	1	1
Fri Nov 24 23:16:40 2017	1511587000	0	1	1	1
