starttime	seconds	ctime	dtime	ttime	wait
Tue Nov 28 16:49:03 2017	1511905743	1	4	5	4
Tue Nov 28 16:49:03 2017	1511905743	1	4	5	4
Tue Nov 28 16:49:03 2017	1511905743	1	4	5	4
Tue Nov 28 16:49:03 2017	1511905743	2	4	6	4
Tue Nov 28 16:49:03 2017	1511905743	2	3	6	3
Tue Nov 28 16:49:03 2017	1511905743	1	5	6	4
Tue Nov 28 16:49:03 2017	1511905743	2	4	6	4
Tue Nov 28 16:49:03 2017	1511905743	2	4	6	4
Tue Nov 28 16:49:03 2017	1511905743	2	4	6	4
Tue Nov 28 16:49:03 2017	1511905743	1	5	6	5
Tue Nov 28 16:49:03 2017	1511905743	2	5	6	5
Tue Nov 28 16:49:03 2017	1511905743	1	5	6	5
Tue Nov 28 16:49:03 2017	1511905743	2	4	6	4
Tue Nov 28 16:49:03 2017	1511905743	1	5	6	5
Tue Nov 28 16:49:03 2017	1511905743	2	5	6	5
Tue Nov 28 16:49:03 2017	1511905743	2	5	6	5
Tue Nov 28 16:49:03 2017	1511905743	1	5	7	5
Tue Nov 28 16:49:03 2017	1511905743	1	5	7	5
Tue Nov 28 16:49:03 2017	1511905743	1	5	7	5
Tue Nov 28 16:49:03 2017	1511905743	1	6	8	6
Tue Nov 28 16:49:03 2017	1511905743	1	6	8	6
Tue Nov 28 16:49:03 2017	1511905743	3	5	8	5
Tue Nov 28 16:49:03 2017	1511905743	4	5	8	5
Tue Nov 28 16:49:03 2017	1511905743	2	7	8	7
Tue Nov 28 16:49:03 2017	1511905743	2	6	9	6
Tue Nov 28 16:49:03 2017	1511905743	4	4	9	4
Tue Nov 28 16:49:03 2017	1511905743	2	8	9	8
Tue Nov 28 16:49:03 2017	1511905743	4	5	9	5
Tue Nov 28 16:49:03 2017	1511905743	3	8	10	8
Tue Nov 28 16:49:03 2017	1511905743	3	8	11	8
Tue Nov 28 16:49:03 2017	1511905743	4	7	11	7
Tue Nov 28 16:49:03 2017	1511905743	6	9	15	9
Tue Nov 28 16:49:03 2017	1511905743	5	10	15	10
Tue Nov 28 16:49:03 2017	1511905743	6	10	16	10
Tue Nov 28 16:49:03 2017	1511905743	6	10	17	10
Tue Nov 28 16:49:03 2017	1511905743	6	13	19	13
Tue Nov 28 16:49:03 2017	1511905743	5	14	20	14
Tue Nov 28 16:49:03 2017	1511905743	1	19	20	19
Tue Nov 28 16:49:03 2017	1511905743	6	15	21	15
