starttime	seconds	ctime	dtime	ttime	wait
Fri Nov 24 22:23:41 2017	1511583821	13	28	41	27
Fri Nov 24 22:23:08 2017	1511583788	13	28	41	28
Fri Nov 24 22:22:55 2017	1511583775	13	29	41	28
Fri Nov 24 22:23:39 2017	1511583819	13	28	42	28
Fri Nov 24 22:23:37 2017	1511583817	14	27	42	27
Fri Nov 24 22:23:21 2017	1511583801	13	29	42	28
Fri Nov 24 22:23:38 2017	1511583818	13	29	42	27
Fri Nov 24 22:23:40 2017	1511583820	13	29	42	28
Fri Nov 24 22:23:38 2017	1511583818	15	26	42	26
Fri Nov 24 22:23:38 2017	1511583818	13	29	42	28
Fri Nov 24 22:23:06 2017	1511583786	15	27	42	27
Fri Nov 24 22:23:40 2017	1511583820	14	28	42	28
Fri Nov 24 22:23:45 2017	1511583825	14	28	42	28
Fri Nov 24 22:23:36 2017	1511583816	14	28	42	26
Fri Nov 24 22:23:39 2017	1511583819	14	29	42	28
Fri Nov 24 22:23:16 2017	1511583796	15	27	42	27
Fri Nov 24 22:23:14 2017	1511583794	13	30	42	29
Fri Nov 24 22:23:45 2017	1511583825	14	29	42	28
Fri Nov 24 22:23:01 2017	1511583781	14	28	42	28
Fri Nov 24 22:23:30 2017	1511583810	14	29	42	28
Fri Nov 24 22:23:38 2017	1511583818	14	29	42	29
Fri Nov 24 22:23:13 2017	1511583793	14	28	42	26
Fri Nov 24 22:23:46 2017	1511583826	13	29	43	28
Fri Nov 24 22:23:02 2017	1511583782	15	27	43	27
Fri Nov 24 22:23:20 2017	1511583800	13	29	43	28
Fri Nov 24 22:23:39 2017	1511583819	13	30	43	30
Fri Nov 24 22:23:42 2017	1511583822	13	29	43	29
Fri Nov 24 22:23:02 2017	1511583782	13	30	43	30
Fri Nov 24 22:23:18 2017	1511583798	16	27	43	27
Fri Nov 24 22:23:14 2017	1511583794	15	28	43	27
Fri Nov 24 22:23:37 2017	1511583817	14	29	43	29
Fri Nov 24 22:23:39 2017	1511583819	12	31	43	30
Fri Nov 24 22:23:23 2017	1511583803	15	28	43	27
Fri Nov 24 22:23:36 2017	1511583816	14	29	43	28
Fri Nov 24 22:23:26 2017	1511583806	13	30	43	30
Fri Nov 24 22:23:43 2017	1511583823	15	28	43	28
Fri Nov 24 22:23:38 2017	1511583818	13	30	43	29
Fri Nov 24 22:23:18 2017	1511583798	15	28	43	28
Fri Nov 24 22:23:46 2017	1511583826	15	28	43	28
Fri Nov 24 22:23:39 2017	1511583819	15	28	43	27
Fri Nov 24 22:22:57 2017	1511583777	17	27	43	26
Fri Nov 24 22:22:53 2017	1511583773	12	31	43	31
Fri Nov 24 22:23:15 2017	1511583795	15	29	43	28
Fri Nov 24 22:23:40 2017	1511583820	14	30	43	29
Fri Nov 24 22:23:37 2017	1511583817	16	28	43	27
Fri Nov 24 22:23:16 2017	1511583796	14	29	43	29
Fri Nov 24 22:23:30 2017	1511583810	15	28	43	28
Fri Nov 24 22:23:46 2017	1511583826	14	30	43	28
Fri Nov 24 22:23:23 2017	1511583803	15	28	43	27
Fri Nov 24 22:23:02 2017	1511583782	14	29	43	28
Fri Nov 24 22:23:38 2017	1511583818	15	28	43	28
Fri Nov 24 22:23:46 2017	1511583826	15	29	43	28
Fri Nov 24 22:23:39 2017	1511583819	14	29	43	29
Fri Nov 24 22:23:40 2017	1511583820	14	30	43	29
Fri Nov 24 22:23:40 2017	1511583820	14	30	43	29
Fri Nov 24 22:23:41 2017	1511583821	16	28	44	27
Fri Nov 24 22:23:19 2017	1511583799	14	30	44	30
Fri Nov 24 22:23:43 2017	1511583823	16	28	44	28
Fri Nov 24 22:23:38 2017	1511583818	14	29	44	27
Fri Nov 24 22:23:31 2017	1511583811	14	30	44	29
Fri Nov 24 22:23:41 2017	1511583821	14	29	44	28
Fri Nov 24 22:23:43 2017	1511583823	16	28	44	27
Fri Nov 24 22:23:31 2017	1511583811	14	29	44	29
Fri Nov 24 22:23:41 2017	1511583821	15	29	44	28
Fri Nov 24 22:23:45 2017	1511583825	16	27	44	27
Fri Nov 24 22:23:05 2017	1511583785	17	27	44	27
Fri Nov 24 22:23:41 2017	1511583821	15	29	44	27
Fri Nov 24 22:23:06 2017	1511583786	15	29	44	29
Fri Nov 24 22:23:02 2017	1511583782	14	30	44	29
Fri Nov 24 22:23:40 2017	1511583820	15	28	44	27
Fri Nov 24 22:22:56 2017	1511583776	15	29	44	29
Fri Nov 24 22:23:36 2017	1511583816	14	29	44	29
Fri Nov 24 22:23:35 2017	1511583815	14	30	44	30
Fri Nov 24 22:23:35 2017	1511583815	15	29	44	28
Fri Nov 24 22:23:45 2017	1511583825	13	31	44	30
Fri Nov 24 22:23:45 2017	1511583825	14	29	44	29
Fri Nov 24 22:22:57 2017	1511583777	16	28	44	28
Fri Nov 24 22:23:02 2017	1511583782	16	28	44	28
Fri Nov 24 22:23:08 2017	1511583788	14	30	44	29
Fri Nov 24 22:23:10 2017	1511583790	14	29	44	29
Fri Nov 24 22:22:54 2017	1511583774	14	30	44	30
Fri Nov 24 22:23:26 2017	1511583806	16	28	44	27
Fri Nov 24 22:22:57 2017	1511583777	15	29	44	29
Fri Nov 24 22:23:44 2017	1511583824	14	29	44	29
Fri Nov 24 22:23:13 2017	1511583793	14	30	44	27
Fri Nov 24 22:23:43 2017	1511583823	14	30	44	29
Fri Nov 24 22:23:21 2017	1511583801	15	29	44	28
Fri Nov 24 22:23:40 2017	1511583820	14	30	44	30
Fri Nov 24 22:23:40 2017	1511583820	14	30	44	28
Fri Nov 24 22:23:25 2017	1511583805	16	28	44	27
Fri Nov 24 22:22:57 2017	1511583777	15	29	44	28
Fri Nov 24 22:23:21 2017	1511583801	17	27	44	27
Fri Nov 24 22:23:04 2017	1511583784	14	29	44	29
Fri Nov 24 22:23:45 2017	1511583825	14	30	44	29
Fri Nov 24 22:23:00 2017	1511583780	15	29	44	28
Fri Nov 24 22:23:44 2017	1511583824	14	30	44	28
Fri Nov 24 22:23:17 2017	1511583797	17	27	44	27
Fri Nov 24 22:23:38 2017	1511583818	13	31	44	30
Fri Nov 24 22:23:35 2017	1511583815	18	26	44	26
Fri Nov 24 22:23:35 2017	1511583815	15	29	44	28
Fri Nov 24 22:23:00 2017	1511583780	16	28	44	27
Fri Nov 24 22:23:44 2017	1511583824	15	28	44	28
Fri Nov 24 22:23:21 2017	1511583801	16	28	44	28
Fri Nov 24 22:23:02 2017	1511583782	13	31	44	31
Fri Nov 24 22:23:42 2017	1511583822	15	29	44	29
Fri Nov 24 22:22:54 2017	1511583774	16	28	44	27
Fri Nov 24 22:23:12 2017	1511583792	17	27	44	27
Fri Nov 24 22:23:44 2017	1511583824	15	30	44	28
Fri Nov 24 22:22:58 2017	1511583778	15	29	44	28
Fri Nov 24 22:23:39 2017	1511583819	13	31	44	31
Fri Nov 24 22:23:18 2017	1511583798	15	30	44	29
Fri Nov 24 22:22:53 2017	1511583773	12	32	44	30
Fri Nov 24 22:23:20 2017	1511583800	14	30	44	30
Fri Nov 24 22:23:38 2017	1511583818	14	30	44	28
Fri Nov 24 22:23:08 2017	1511583788	16	29	44	28
Fri Nov 24 22:23:16 2017	1511583796	14	30	44	30
Fri Nov 24 22:23:41 2017	1511583821	14	30	44	29
Fri Nov 24 22:23:41 2017	1511583821	14	30	44	29
Fri Nov 24 22:23:08 2017	1511583788	16	28	44	26
Fri Nov 24 22:23:14 2017	1511583794	16	28	44	26
Fri Nov 24 22:23:40 2017	1511583820	17	27	44	26
Fri Nov 24 22:23:44 2017	1511583824	16	28	44	28
Fri Nov 24 22:23:38 2017	1511583818	15	29	44	29
Fri Nov 24 22:23:25 2017	1511583805	18	26	44	26
Fri Nov 24 22:23:18 2017	1511583798	15	29	44	28
Fri Nov 24 22:23:39 2017	1511583819	16	28	44	28
Fri Nov 24 22:23:38 2017	1511583818	15	29	44	27
Fri Nov 24 22:23:33 2017	1511583813	15	29	44	29
Fri Nov 24 22:23:06 2017	1511583786	18	27	44	26
Fri Nov 24 22:23:38 2017	1511583818	14	30	44	30
Fri Nov 24 22:23:07 2017	1511583787	14	30	44	30
Fri Nov 24 22:23:14 2017	1511583794	13	31	44	30
Fri Nov 24 22:23:23 2017	1511583803	15	29	44	29
