starttime	seconds	ctime	dtime	ttime	wait
Sat Nov 25 19:19:22 2017	1511655562	0	1	1	1
Sat Nov 25 19:19:22 2017	1511655562	0	1	1	1
Sat Nov 25 19:19:22 2017	1511655562	0	1	1	1
Sat Nov 25 19:19:22 2017	1511655562	0	1	1	1
Sat Nov 25 19:19:21 2017	1511655561	0	1	1	1
Sat Nov 25 19:19:22 2017	1511655562	0	1	1	1
Sat Nov 25 19:19:21 2017	1511655561	0	1	1	1
Sat Nov 25 19:19:22 2017	1511655562	0	1	1	1
Sat Nov 25 19:19:22 2017	1511655562	0	1	1	1
Sat Nov 25 19:19:22 2017	1511655562	0	1	1	1
Sat Nov 25 19:19:22 2017	1511655562	0	1	1	1
Sat Nov 25 19:19:22 2017	1511655562	0	1	1	1
Sat Nov 25 19:19:22 2017	1511655562	0	1	1	1
Sat Nov 25 19:19:22 2017	1511655562	0	1	1	1
Sat Nov 25 19:19:22 2017	1511655562	0	1	1	1
Sat Nov 25 19:19:22 2017	1511655562	0	1	1	1
Sat Nov 25 19:19:22 2017	1511655562	0	1	1	1
Sat Nov 25 19:19:22 2017	1511655562	0	1	1	1
Sat Nov 25 19:19:21 2017	1511655561	1	1	1	1
Sat Nov 25 19:19:22 2017	1511655562	0	1	2	1
Sat Nov 25 19:19:22 2017	1511655562	0	1	2	1
Sat Nov 25 19:19:22 2017	1511655562	0	1	2	1
Sat Nov 25 19:19:21 2017	1511655561	0	1	2	1
Sat Nov 25 19:19:22 2017	1511655562	0	1	2	1
Sat Nov 25 19:19:22 2017	1511655562	0	1	2	1
Sat Nov 25 19:19:22 2017	1511655562	0	1	2	1
Sat Nov 25 19:19:22 2017	1511655562	0	1	2	1
Sat Nov 25 19:19:22 2017	1511655562	0	1	2	1
Sat Nov 25 19:19:22 2017	1511655562	1	1	2	1
Sat Nov 25 19:19:22 2017	1511655562	0	1	2	1
Sat Nov 25 19:19:22 2017	1511655562	0	1	2	1
Sat Nov 25 19:19:22 2017	1511655562	0	1	2	1
Sat Nov 25 19:19:22 2017	1511655562	0	1	2	1
Sat Nov 25 19:19:22 2017	1511655562	0	1	2	1
Sat Nov 25 19:19:22 2017	1511655562	0	1	2	1
Sat Nov 25 19:19:21 2017	1511655561	0	2	2	2
Sat Nov 25 19:19:22 2017	1511655562	0	2	2	2
Sat Nov 25 19:19:22 2017	1511655562	0	1	2	1
Sat Nov 25 19:19:22 2017	1511655562	0	2	2	2
Sat Nov 25 19:19:22 2017	1511655562	0	2	2	2
