starttime	seconds	ctime	dtime	ttime	wait
Tue Nov 28 16:49:11 2017	1511905751	2	2	4	2
Tue Nov 28 16:49:11 2017	1511905751	1	5	7	5
Tue Nov 28 16:49:11 2017	1511905751	2	6	8	6
Tue Nov 28 16:49:11 2017	1511905751	1	6	8	6
Tue Nov 28 16:49:11 2017	1511905751	2	7	8	6
Tue Nov 28 16:49:11 2017	1511905751	2	7	9	7
Tue Nov 28 16:49:11 2017	1511905751	3	6	9	6
Tue Nov 28 16:49:11 2017	1511905751	3	5	9	5
Tue Nov 28 16:49:11 2017	1511905751	2	7	9	7
Tue Nov 28 16:49:11 2017	1511905751	3	6	9	6
Tue Nov 28 16:49:11 2017	1511905751	3	6	9	6
Tue Nov 28 16:49:11 2017	1511905751	2	7	9	7
Tue Nov 28 16:49:11 2017	1511905751	4	7	11	7
Tue Nov 28 16:49:11 2017	1511905751	4	7	11	7
Tue Nov 28 16:49:11 2017	1511905751	4	7	11	7
Tue Nov 28 16:49:11 2017	1511905751	2	9	11	9
Tue Nov 28 16:49:11 2017	1511905751	5	7	11	7
Tue Nov 28 16:49:11 2017	1511905751	2	9	11	9
Tue Nov 28 16:49:11 2017	1511905751	4	8	12	8
Tue Nov 28 16:49:11 2017	1511905751	3	9	12	9
Tue Nov 28 16:49:11 2017	1511905751	4	7	12	7
Tue Nov 28 16:49:11 2017	1511905751	3	9	12	9
Tue Nov 28 16:49:11 2017	1511905751	4	8	12	8
Tue Nov 28 16:49:11 2017	1511905751	3	9	12	9
Tue Nov 28 16:49:11 2017	1511905751	4	8	12	8
Tue Nov 28 16:49:11 2017	1511905751	4	8	13	8
Tue Nov 28 16:49:11 2017	1511905751	2	11	13	11
Tue Nov 28 16:49:11 2017	1511905751	4	8	13	8
Tue Nov 28 16:49:11 2017	1511905751	2	11	13	11
Tue Nov 28 16:49:11 2017	1511905751	4	9	13	9
Tue Nov 28 16:49:11 2017	1511905751	4	10	14	10
Tue Nov 28 16:49:11 2017	1511905751	3	11	14	11
Tue Nov 28 16:49:11 2017	1511905751	3	11	14	11
Tue Nov 28 16:49:11 2017	1511905751	6	8	15	8
Tue Nov 28 16:49:11 2017	1511905751	6	9	15	9
Tue Nov 28 16:49:11 2017	1511905751	4	11	15	11
Tue Nov 28 16:49:11 2017	1511905751	3	12	15	12
Tue Nov 28 16:49:11 2017	1511905751	5	11	16	11
Tue Nov 28 16:49:11 2017	1511905751	5	11	16	11
Tue Nov 28 16:49:11 2017	1511905751	5	11	16	11
Tue Nov 28 16:49:11 2017	1511905751	5	12	16	11
Tue Nov 28 16:49:11 2017	1511905751	5	12	17	12
Tue Nov 28 16:49:11 2017	1511905751	5	12	17	12
Tue Nov 28 16:49:11 2017	1511905751	5	12	17	12
Tue Nov 28 16:49:11 2017	1511905751	5	12	17	12
Tue Nov 28 16:49:11 2017	1511905751	6	11	17	11
Tue Nov 28 16:49:11 2017	1511905751	3	15	18	15
Tue Nov 28 16:49:11 2017	1511905751	3	15	18	15
Tue Nov 28 16:49:11 2017	1511905751	6	12	18	12
Tue Nov 28 16:49:11 2017	1511905751	6	12	18	12
Tue Nov 28 16:49:11 2017	1511905751	5	13	18	13
Tue Nov 28 16:49:11 2017	1511905751	5	13	18	13
Tue Nov 28 16:49:11 2017	1511905751	3	15	18	15
Tue Nov 28 16:49:11 2017	1511905751	6	13	19	13
Tue Nov 28 16:49:11 2017	1511905751	3	16	19	16
Tue Nov 28 16:49:11 2017	1511905751	4	15	19	15
Tue Nov 28 16:49:11 2017	1511905751	6	13	19	13
Tue Nov 28 16:49:11 2017	1511905751	6	13	19	13
Tue Nov 28 16:49:11 2017	1511905751	7	12	19	12
Tue Nov 28 16:49:11 2017	1511905751	4	16	19	16
Tue Nov 28 16:49:11 2017	1511905751	5	14	19	14
Tue Nov 28 16:49:11 2017	1511905751	7	12	19	12
Tue Nov 28 16:49:11 2017	1511905751	3	16	20	16
Tue Nov 28 16:49:11 2017	1511905751	7	12	20	12
Tue Nov 28 16:49:11 2017	1511905751	4	16	20	16
Tue Nov 28 16:49:11 2017	1511905751	4	16	20	16
Tue Nov 28 16:49:11 2017	1511905751	7	14	20	14
Tue Nov 28 16:49:11 2017	1511905751	4	16	20	16
Tue Nov 28 16:49:11 2017	1511905751	5	16	20	16
Tue Nov 28 16:49:11 2017	1511905751	4	16	21	16
Tue Nov 28 16:49:11 2017	1511905751	3	18	21	18
Tue Nov 28 16:49:11 2017	1511905751	6	15	21	15
Tue Nov 28 16:49:11 2017	1511905751	3	17	21	17
Tue Nov 28 16:49:11 2017	1511905751	6	15	21	15
Tue Nov 28 16:49:11 2017	1511905751	5	15	21	15
Tue Nov 28 16:49:11 2017	1511905751	5	16	21	16
Tue Nov 28 16:49:11 2017	1511905751	6	15	21	15
Tue Nov 28 16:49:11 2017	1511905751	4	17	21	17
Tue Nov 28 16:49:11 2017	1511905751	7	14	21	14
