starttime	seconds	ctime	dtime	ttime	wait
Fri Nov 24 23:22:42 2017	1511587362	0	0	1	0
Fri Nov 24 23:22:42 2017	1511587362	0	0	1	0
Fri Nov 24 23:21:13 2017	1511587273	0	1	1	0
Fri Nov 24 23:21:54 2017	1511587314	0	1	1	0
Fri Nov 24 23:21:53 2017	1511587313	0	1	1	1
Fri Nov 24 23:22:25 2017	1511587345	0	1	1	1
Fri Nov 24 23:22:42 2017	1511587362	0	1	1	1
Fri Nov 24 23:22:05 2017	1511587325	0	1	1	1
Fri Nov 24 23:22:47 2017	1511587367	0	1	1	1
Fri Nov 24 23:21:13 2017	1511587273	0	1	1	1
Fri Nov 24 23:21:24 2017	1511587284	0	1	1	1
Fri Nov 24 23:22:05 2017	1511587325	0	1	1	1
Fri Nov 24 23:22:51 2017	1511587371	0	1	1	1
Fri Nov 24 23:21:13 2017	1511587273	0	1	1	1
Fri Nov 24 23:21:24 2017	1511587284	0	1	1	1
Fri Nov 24 23:22:05 2017	1511587325	0	1	1	1
Fri Nov 24 23:22:16 2017	1511587336	0	1	1	1
Fri Nov 24 23:21:30 2017	1511587290	0	1	1	1
Fri Nov 24 23:21:45 2017	1511587305	0	1	1	1
Fri Nov 24 23:22:39 2017	1511587359	0	1	1	1
Fri Nov 24 23:22:39 2017	1511587359	0	1	1	1
Fri Nov 24 23:22:39 2017	1511587359	0	1	1	1
Fri Nov 24 23:22:51 2017	1511587371	0	1	1	1
Fri Nov 24 23:21:13 2017	1511587273	0	1	1	1
Fri Nov 24 23:21:57 2017	1511587317	0	1	1	1
Fri Nov 24 23:22:22 2017	1511587342	0	1	1	1
Fri Nov 24 23:21:55 2017	1511587315	0	1	1	1
Fri Nov 24 23:21:24 2017	1511587284	0	1	1	1
Fri Nov 24 23:22:47 2017	1511587367	0	1	1	1
Fri Nov 24 23:22:44 2017	1511587364	0	1	1	1
Fri Nov 24 23:21:21 2017	1511587281	0	1	1	1
Fri Nov 24 23:22:10 2017	1511587330	0	1	1	1
Fri Nov 24 23:22:02 2017	1511587322	0	1	1	1
Fri Nov 24 23:22:27 2017	1511587347	0	1	1	1
Fri Nov 24 23:22:07 2017	1511587327	0	1	1	1
Fri Nov 24 23:22:12 2017	1511587332	0	1	1	1
Fri Nov 24 23:22:56 2017	1511587376	0	1	1	1
Fri Nov 24 23:22:12 2017	1511587332	0	1	1	1
Fri Nov 24 23:22:16 2017	1511587336	0	1	1	1
Fri Nov 24 23:22:28 2017	1511587348	0	1	1	1
Fri Nov 24 23:22:43 2017	1511587363	0	1	1	1
Fri Nov 24 23:22:11 2017	1511587331	0	1	1	1
Fri Nov 24 23:22:47 2017	1511587367	0	1	1	1
Fri Nov 24 23:22:18 2017	1511587338	0	1	1	1
