starttime	seconds	ctime	dtime	ttime	wait
Fri Nov 24 22:30:35 2017	1511584235	35	36	71	36
Fri Nov 24 22:30:56 2017	1511584256	36	35	71	35
Fri Nov 24 22:30:53 2017	1511584253	36	36	72	36
Fri Nov 24 22:30:16 2017	1511584216	37	36	72	35
Fri Nov 24 22:30:13 2017	1511584213	37	36	72	36
Fri Nov 24 22:30:27 2017	1511584227	36	37	72	37
Fri Nov 24 22:30:44 2017	1511584244	36	37	73	37
Fri Nov 24 22:30:15 2017	1511584215	37	36	73	36
Fri Nov 24 22:30:20 2017	1511584220	36	37	73	36
Fri Nov 24 22:30:08 2017	1511584208	37	36	73	36
Fri Nov 24 22:30:56 2017	1511584256	37	37	73	36
Fri Nov 24 22:31:17 2017	1511584277	38	36	73	36
Fri Nov 24 22:30:53 2017	1511584253	38	36	73	35
Fri Nov 24 22:31:00 2017	1511584260	36	37	73	37
Fri Nov 24 22:30:50 2017	1511584250	37	36	73	36
Fri Nov 24 22:30:35 2017	1511584235	38	36	73	36
Fri Nov 24 22:30:16 2017	1511584216	38	36	74	36
Fri Nov 24 22:30:41 2017	1511584241	37	37	74	37
Fri Nov 24 22:30:11 2017	1511584211	38	36	74	36
Fri Nov 24 22:31:12 2017	1511584272	37	37	74	37
Fri Nov 24 22:30:34 2017	1511584234	37	36	74	36
Fri Nov 24 22:30:15 2017	1511584215	36	38	74	38
Fri Nov 24 22:31:00 2017	1511584260	37	37	74	37
Fri Nov 24 22:30:34 2017	1511584234	38	36	74	36
Fri Nov 24 22:31:02 2017	1511584262	36	38	74	38
Fri Nov 24 22:30:03 2017	1511584203	37	37	74	37
Fri Nov 24 22:30:55 2017	1511584255	37	37	74	37
Fri Nov 24 22:30:57 2017	1511584257	37	37	74	37
Fri Nov 24 22:31:20 2017	1511584280	39	35	74	35
Fri Nov 24 22:31:01 2017	1511584261	36	38	74	38
Fri Nov 24 22:30:09 2017	1511584209	37	38	74	38
Fri Nov 24 22:31:17 2017	1511584277	37	38	74	38
Fri Nov 24 22:30:29 2017	1511584229	36	38	74	38
Fri Nov 24 22:30:16 2017	1511584216	38	36	74	36
Fri Nov 24 22:31:24 2017	1511584284	37	38	74	38
Fri Nov 24 22:30:51 2017	1511584251	36	38	74	38
Fri Nov 24 22:30:36 2017	1511584236	38	36	74	36
Fri Nov 24 22:31:24 2017	1511584284	37	37	74	37
Fri Nov 24 22:30:03 2017	1511584203	39	35	74	35
Fri Nov 24 22:30:26 2017	1511584226	37	38	74	38
Fri Nov 24 22:30:22 2017	1511584222	36	38	74	38
Fri Nov 24 22:31:11 2017	1511584271	37	37	75	37
Fri Nov 24 22:31:25 2017	1511584285	38	37	75	37
Fri Nov 24 22:30:27 2017	1511584227	38	36	75	36
Fri Nov 24 22:31:00 2017	1511584260	38	37	75	37
Fri Nov 24 22:30:31 2017	1511584231	36	38	75	38
Fri Nov 24 22:30:28 2017	1511584228	38	37	75	37
Fri Nov 24 22:30:53 2017	1511584253	39	36	75	36
Fri Nov 24 22:30:24 2017	1511584224	37	38	75	38
Fri Nov 24 22:30:40 2017	1511584240	38	37	75	37
Fri Nov 24 22:31:19 2017	1511584279	38	36	75	36
Fri Nov 24 22:30:24 2017	1511584224	36	38	75	38
Fri Nov 24 22:30:55 2017	1511584255	38	36	75	36
Fri Nov 24 22:30:49 2017	1511584249	38	37	75	37
Fri Nov 24 22:30:16 2017	1511584216	37	38	75	38
Fri Nov 24 22:31:02 2017	1511584262	37	37	75	37
Fri Nov 24 22:31:08 2017	1511584268	37	38	75	38
Fri Nov 24 22:31:06 2017	1511584266	38	37	75	37
Fri Nov 24 22:30:03 2017	1511584203	38	37	75	37
Fri Nov 24 22:31:15 2017	1511584275	37	38	75	38
Fri Nov 24 22:30:36 2017	1511584236	37	38	75	38
Fri Nov 24 22:30:21 2017	1511584221	38	37	75	37
Fri Nov 24 22:30:25 2017	1511584225	39	36	75	35
Fri Nov 24 22:31:10 2017	1511584270	39	36	75	36
Fri Nov 24 22:30:10 2017	1511584210	38	37	75	37
Fri Nov 24 22:30:35 2017	1511584235	39	36	75	36
Fri Nov 24 22:30:43 2017	1511584243	38	37	75	37
Fri Nov 24 22:30:37 2017	1511584237	38	37	75	37
Fri Nov 24 22:30:55 2017	1511584255	38	37	75	37
Fri Nov 24 22:31:07 2017	1511584267	38	37	75	37
Fri Nov 24 22:31:06 2017	1511584266	37	38	75	38
Fri Nov 24 22:31:16 2017	1511584276	37	38	75	38
Fri Nov 24 22:31:05 2017	1511584265	38	37	75	37
Fri Nov 24 22:30:29 2017	1511584229	38	37	75	37
Fri Nov 24 22:31:15 2017	1511584275	38	37	75	36
Fri Nov 24 22:30:54 2017	1511584254	36	39	75	39
Fri Nov 24 22:30:54 2017	1511584254	38	37	75	37
Fri Nov 24 22:30:14 2017	1511584214	40	35	75	35
Fri Nov 24 22:30:23 2017	1511584223	38	37	75	37
Fri Nov 24 22:30:38 2017	1511584238	36	39	75	39
Fri Nov 24 22:30:18 2017	1511584218	39	36	75	36
Fri Nov 24 22:30:42 2017	1511584242	36	39	75	39
Fri Nov 24 22:30:07 2017	1511584207	40	35	75	35
Fri Nov 24 22:31:14 2017	1511584274	37	38	75	38
Fri Nov 24 22:30:06 2017	1511584206	37	38	75	38
Fri Nov 24 22:30:49 2017	1511584249	40	35	75	35
Fri Nov 24 22:30:41 2017	1511584241	38	37	75	37
Fri Nov 24 22:30:07 2017	1511584207	36	39	75	39
Fri Nov 24 22:30:56 2017	1511584256	37	38	75	38
Fri Nov 24 22:31:24 2017	1511584284	38	37	75	37
Fri Nov 24 22:30:28 2017	1511584228	38	37	75	37
Fri Nov 24 22:30:54 2017	1511584254	37	38	75	38
Fri Nov 24 22:30:33 2017	1511584233	40	36	75	35
Fri Nov 24 22:30:52 2017	1511584252	40	35	75	35
Fri Nov 24 22:30:50 2017	1511584250	39	36	75	36
Fri Nov 24 22:30:10 2017	1511584210	40	36	75	36
Fri Nov 24 22:30:18 2017	1511584218	39	36	75	36
Fri Nov 24 22:30:18 2017	1511584218	37	38	75	38
