starttime	seconds	ctime	dtime	ttime	wait
Sat Nov 25 19:19:25 2017	1511655565	0	1	1	1
Sat Nov 25 19:19:25 2017	1511655565	0	1	1	1
Sat Nov 25 19:19:25 2017	1511655565	0	1	1	1
Sat Nov 25 19:19:25 2017	1511655565	0	1	1	1
Sat Nov 25 19:19:25 2017	1511655565	0	1	1	1
Sat Nov 25 19:19:25 2017	1511655565	0	1	1	1
Sat Nov 25 19:19:25 2017	1511655565	0	1	1	1
Sat Nov 25 19:19:25 2017	1511655565	0	1	1	1
Sat Nov 25 19:19:25 2017	1511655565	0	1	1	1
Sat Nov 25 19:19:25 2017	1511655565	0	1	1	1
Sat Nov 25 19:19:25 2017	1511655565	0	1	1	1
Sat Nov 25 19:19:25 2017	1511655565	0	1	1	1
Sat Nov 25 19:19:25 2017	1511655565	0	1	1	1
Sat Nov 25 19:19:25 2017	1511655565	1	1	2	1
Sat Nov 25 19:19:25 2017	1511655565	0	1	2	1
Sat Nov 25 19:19:25 2017	1511655565	1	1	2	1
Sat Nov 25 19:19:25 2017	1511655565	1	1	2	1
Sat Nov 25 19:19:25 2017	1511655565	0	1	2	1
Sat Nov 25 19:19:25 2017	1511655565	0	1	2	1
Sat Nov 25 19:19:24 2017	1511655564	0	1	2	1
Sat Nov 25 19:19:25 2017	1511655565	0	1	2	1
Sat Nov 25 19:19:25 2017	1511655565	0	1	2	1
Sat Nov 25 19:19:25 2017	1511655565	0	1	2	1
Sat Nov 25 19:19:25 2017	1511655565	0	1	2	1
Sat Nov 25 19:19:25 2017	1511655565	0	1	2	1
Sat Nov 25 19:19:25 2017	1511655565	0	1	2	1
Sat Nov 25 19:19:25 2017	1511655565	1	1	2	1
Sat Nov 25 19:19:25 2017	1511655565	0	2	2	1
Sat Nov 25 19:19:25 2017	1511655565	0	2	2	2
Sat Nov 25 19:19:25 2017	1511655565	1	1	2	1
Sat Nov 25 19:19:25 2017	1511655565	0	2	2	2
Sat Nov 25 19:19:25 2017	1511655565	1	2	2	1
Sat Nov 25 19:19:25 2017	1511655565	0	2	2	2
Sat Nov 25 19:19:25 2017	1511655565	0	2	2	2
Sat Nov 25 19:19:25 2017	1511655565	0	2	2	2
Sat Nov 25 19:19:25 2017	1511655565	1	1	2	1
Sat Nov 25 19:19:25 2017	1511655565	0	2	2	2
Sat Nov 25 19:19:25 2017	1511655565	0	2	2	2
Sat Nov 25 19:19:25 2017	1511655565	1	2	2	2
Sat Nov 25 19:19:25 2017	1511655565	0	2	2	2
Sat Nov 25 19:19:25 2017	1511655565	1	1	2	1
Sat Nov 25 19:19:25 2017	1511655565	0	2	2	2
Sat Nov 25 19:19:25 2017	1511655565	0	2	2	2
Sat Nov 25 19:19:25 2017	1511655565	1	1	2	1
Sat Nov 25 19:19:25 2017	1511655565	1	2	2	2
Sat Nov 25 19:19:25 2017	1511655565	0	2	2	2
Sat Nov 25 19:19:25 2017	1511655565	1	2	2	2
Sat Nov 25 19:19:25 2017	1511655565	0	2	2	2
Sat Nov 25 19:19:25 2017	1511655565	0	2	2	2
Sat Nov 25 19:19:25 2017	1511655565	1	2	2	2
Sat Nov 25 19:19:25 2017	1511655565	0	2	3	2
Sat Nov 25 19:19:25 2017	1511655565	1	2	3	2
Sat Nov 25 19:19:25 2017	1511655565	1	2	3	2
Sat Nov 25 19:19:25 2017	1511655565	1	2	3	2
Sat Nov 25 19:19:25 2017	1511655565	0	2	3	2
Sat Nov 25 19:19:25 2017	1511655565	0	2	3	2
Sat Nov 25 19:19:25 2017	1511655565	0	2	3	2
Sat Nov 25 19:19:25 2017	1511655565	0	2	3	2
Sat Nov 25 19:19:25 2017	1511655565	0	2	3	2
Sat Nov 25 19:19:25 2017	1511655565	0	2	3	2
Sat Nov 25 19:19:25 2017	1511655565	1	2	3	2
Sat Nov 25 19:19:25 2017	1511655565	0	2	3	2
Sat Nov 25 19:19:25 2017	1511655565	1	2	3	2
Sat Nov 25 19:19:24 2017	1511655564	1	2	3	2
Sat Nov 25 19:19:25 2017	1511655565	1	2	3	2
Sat Nov 25 19:19:25 2017	1511655565	1	2	3	2
Sat Nov 25 19:19:25 2017	1511655565	0	2	3	2
Sat Nov 25 19:19:25 2017	1511655565	1	2	3	2
Sat Nov 25 19:19:25 2017	1511655565	1	2	3	2
Sat Nov 25 19:19:25 2017	1511655565	0	2	3	2
Sat Nov 25 19:19:25 2017	1511655565	0	2	3	2
Sat Nov 25 19:19:25 2017	1511655565	0	2	3	2
Sat Nov 25 19:19:25 2017	1511655565	1	2	3	2
