starttime	seconds	ctime	dtime	ttime	wait
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	1	1	1
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	1	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	1	1	1
Sun Nov 26 03:49:03 2017	1511686143	0	1	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	1	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	1	1	1
Sun Nov 26 03:49:03 2017	1511686143	1	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	1	1	1
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	1	1	1
Sun Nov 26 03:49:03 2017	1511686143	0	1	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	1	1	1
Sun Nov 26 03:49:03 2017	1511686143	0	1	1	1
Sun Nov 26 03:49:03 2017	1511686143	0	1	1	1
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	1	1	1
Sun Nov 26 03:49:03 2017	1511686143	0	1	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	1	1	1
Sun Nov 26 03:49:03 2017	1511686143	0	1	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	1	1	1
Sun Nov 26 03:49:03 2017	1511686143	1	0	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	1	1	0
Sun Nov 26 03:49:03 2017	1511686143	0	1	1	1
Sun Nov 26 03:49:03 2017	1511686143	0	1	1	0
