starttime	seconds	ctime	dtime	ttime	wait
Fri Nov 24 20:21:35 2017	1511576495	0	1	1	0
Fri Nov 24 20:21:35 2017	1511576495	0	1	1	0
Fri Nov 24 20:21:17 2017	1511576477	0	1	1	1
Fri Nov 24 20:21:17 2017	1511576477	0	1	1	1
Fri Nov 24 20:20:41 2017	1511576441	0	1	1	1
Fri Nov 24 20:21:38 2017	1511576498	0	1	1	1
Fri Nov 24 20:20:41 2017	1511576441	0	1	1	1
Fri Nov 24 20:21:11 2017	1511576471	0	1	1	1
Fri Nov 24 20:21:38 2017	1511576498	0	1	1	1
Fri Nov 24 20:20:41 2017	1511576441	0	1	1	1
Fri Nov 24 20:21:55 2017	1511576515	0	1	1	1
Fri Nov 24 20:21:50 2017	1511576510	0	1	1	1
Fri Nov 24 20:21:05 2017	1511576465	0	1	1	1
Fri Nov 24 20:21:17 2017	1511576477	0	1	1	1
Fri Nov 24 20:21:13 2017	1511576473	0	1	1	1
Fri Nov 24 20:21:54 2017	1511576514	0	1	1	1
Fri Nov 24 20:21:16 2017	1511576476	0	1	1	1
Fri Nov 24 20:21:00 2017	1511576460	0	1	1	1
Fri Nov 24 20:20:43 2017	1511576443	0	1	1	1
Fri Nov 24 20:21:56 2017	1511576516	0	1	1	1
Fri Nov 24 20:21:16 2017	1511576476	0	1	1	1
Fri Nov 24 20:21:26 2017	1511576486	0	1	1	1
Fri Nov 24 20:20:42 2017	1511576442	0	1	1	1
Fri Nov 24 20:20:41 2017	1511576441	0	1	1	1
Fri Nov 24 20:21:44 2017	1511576504	0	1	1	1
Fri Nov 24 20:21:55 2017	1511576515	0	1	1	1
Fri Nov 24 20:21:05 2017	1511576465	0	1	1	1
Fri Nov 24 20:21:36 2017	1511576496	0	1	1	1
Fri Nov 24 20:21:30 2017	1511576490	0	1	1	1
Fri Nov 24 20:20:38 2017	1511576438	0	1	1	1
Fri Nov 24 20:20:45 2017	1511576445	0	1	1	1
Fri Nov 24 20:21:19 2017	1511576479	0	1	1	1
Fri Nov 24 20:21:42 2017	1511576502	0	1	1	1
Fri Nov 24 20:20:53 2017	1511576453	0	1	1	1
Fri Nov 24 20:20:45 2017	1511576445	0	1	1	1
Fri Nov 24 20:21:20 2017	1511576480	0	1	1	1
Fri Nov 24 20:21:42 2017	1511576502	0	1	1	1
Fri Nov 24 20:20:45 2017	1511576445	0	1	1	1
Fri Nov 24 20:21:54 2017	1511576514	0	1	1	1
Fri Nov 24 20:20:41 2017	1511576441	0	1	1	1
Fri Nov 24 20:21:49 2017	1511576509	0	1	1	1
Fri Nov 24 20:21:20 2017	1511576480	0	1	1	1
Fri Nov 24 20:21:26 2017	1511576486	0	1	1	1
Fri Nov 24 20:21:01 2017	1511576461	0	1	1	1
Fri Nov 24 20:21:21 2017	1511576481	0	1	1	1
Fri Nov 24 20:20:42 2017	1511576442	0	1	1	1
Fri Nov 24 20:21:05 2017	1511576465	0	1	1	1
Fri Nov 24 20:20:57 2017	1511576457	0	1	1	1
Fri Nov 24 20:21:54 2017	1511576514	0	1	1	1
Fri Nov 24 20:21:16 2017	1511576476	0	1	1	1
Fri Nov 24 20:21:24 2017	1511576484	0	1	1	1
Fri Nov 24 20:20:33 2017	1511576433	0	1	1	1
Fri Nov 24 20:21:05 2017	1511576465	0	1	1	1
Fri Nov 24 20:21:50 2017	1511576510	0	1	1	1
Fri Nov 24 20:20:43 2017	1511576443	0	1	1	1
Fri Nov 24 20:21:17 2017	1511576477	0	1	1	1
Fri Nov 24 20:21:44 2017	1511576504	0	1	1	1
Fri Nov 24 20:21:19 2017	1511576479	0	1	1	1
Fri Nov 24 20:21:58 2017	1511576518	0	1	1	1
Fri Nov 24 20:21:55 2017	1511576515	0	1	1	1
Fri Nov 24 20:21:12 2017	1511576472	0	1	1	1
Fri Nov 24 20:21:22 2017	1511576482	0	1	1	1
Fri Nov 24 20:21:56 2017	1511576516	0	1	1	1
Fri Nov 24 20:21:12 2017	1511576472	0	1	1	1
Fri Nov 24 20:21:29 2017	1511576489	0	1	1	1
Fri Nov 24 20:21:49 2017	1511576509	0	1	1	1
Fri Nov 24 20:21:41 2017	1511576501	0	1	1	1
Fri Nov 24 20:21:52 2017	1511576512	0	1	1	1
Fri Nov 24 20:21:49 2017	1511576509	0	1	1	1
Fri Nov 24 20:21:26 2017	1511576486	0	1	1	1
Fri Nov 24 20:21:21 2017	1511576481	0	1	1	1
Fri Nov 24 20:21:48 2017	1511576508	0	1	1	1
Fri Nov 24 20:20:27 2017	1511576427	0	1	1	1
Fri Nov 24 20:21:54 2017	1511576514	0	1	1	1
Fri Nov 24 20:21:27 2017	1511576487	0	1	1	1
Fri Nov 24 20:20:57 2017	1511576457	0	1	1	1
Fri Nov 24 20:21:27 2017	1511576487	0	1	1	1
Fri Nov 24 20:21:34 2017	1511576494	0	1	1	1
Fri Nov 24 20:21:48 2017	1511576508	0	1	1	1
Fri Nov 24 20:21:54 2017	1511576514	0	1	1	1
Fri Nov 24 20:20:28 2017	1511576428	0	1	1	1
Fri Nov 24 20:21:04 2017	1511576464	0	1	1	1
Fri Nov 24 20:21:11 2017	1511576471	0	1	1	1
Fri Nov 24 20:21:49 2017	1511576509	0	1	1	1
Fri Nov 24 20:21:11 2017	1511576471	0	1	1	1
Fri Nov 24 20:20:47 2017	1511576447	0	1	1	1
Fri Nov 24 20:21:42 2017	1511576502	0	1	1	1
Fri Nov 24 20:21:55 2017	1511576515	0	1	1	1
Fri Nov 24 20:21:48 2017	1511576508	0	1	1	1
Fri Nov 24 20:20:49 2017	1511576449	0	1	1	1
