starttime	seconds	ctime	dtime	ttime	wait
Fri Nov 24 20:32:08 2017	1511577128	0	1	1	1
Fri Nov 24 20:32:09 2017	1511577129	0	1	1	1
Fri Nov 24 20:32:07 2017	1511577127	0	1	1	1
Fri Nov 24 20:32:09 2017	1511577129	0	1	1	1
Fri Nov 24 20:32:09 2017	1511577129	0	1	1	1
Fri Nov 24 20:32:08 2017	1511577128	0	1	1	1
Fri Nov 24 20:32:09 2017	1511577129	0	1	1	1
Fri Nov 24 20:32:09 2017	1511577129	0	1	1	1
Fri Nov 24 20:32:09 2017	1511577129	0	1	1	1
Fri Nov 24 20:32:08 2017	1511577128	0	1	1	1
Fri Nov 24 20:32:09 2017	1511577129	0	1	1	1
Fri Nov 24 20:32:08 2017	1511577128	0	1	1	1
Fri Nov 24 20:32:09 2017	1511577129	0	1	1	1
Fri Nov 24 20:32:09 2017	1511577129	0	1	1	1
Fri Nov 24 20:32:08 2017	1511577128	0	1	1	1
Fri Nov 24 20:32:09 2017	1511577129	0	1	1	1
Fri Nov 24 20:32:08 2017	1511577128	0	1	1	1
Fri Nov 24 20:32:07 2017	1511577127	0	1	1	1
Fri Nov 24 20:32:07 2017	1511577127	0	1	1	1
Fri Nov 24 20:32:09 2017	1511577129	0	1	1	1
Fri Nov 24 20:32:07 2017	1511577127	0	1	1	1
Fri Nov 24 20:32:08 2017	1511577128	0	1	1	1
Fri Nov 24 20:32:07 2017	1511577127	0	1	1	1
Fri Nov 24 20:32:09 2017	1511577129	0	1	1	1
Fri Nov 24 20:32:07 2017	1511577127	0	1	1	1
Fri Nov 24 20:32:09 2017	1511577129	0	1	1	1
Fri Nov 24 20:32:09 2017	1511577129	0	1	1	1
Fri Nov 24 20:32:10 2017	1511577130	0	1	1	1
Fri Nov 24 20:32:10 2017	1511577130	0	1	1	1
Fri Nov 24 20:32:07 2017	1511577127	0	1	1	1
Fri Nov 24 20:32:09 2017	1511577129	0	1	1	1
Fri Nov 24 20:32:09 2017	1511577129	0	1	1	1
Fri Nov 24 20:32:10 2017	1511577130	0	1	1	1
Fri Nov 24 20:32:08 2017	1511577128	0	1	1	1
Fri Nov 24 20:32:10 2017	1511577130	0	1	1	1
Fri Nov 24 20:32:07 2017	1511577127	0	1	1	1
Fri Nov 24 20:32:09 2017	1511577129	0	1	1	1
Fri Nov 24 20:32:07 2017	1511577127	0	1	1	1
Fri Nov 24 20:32:09 2017	1511577129	0	1	1	1
Fri Nov 24 20:32:08 2017	1511577128	0	1	1	1
Fri Nov 24 20:32:08 2017	1511577128	0	1	1	1
Fri Nov 24 20:32:09 2017	1511577129	0	1	1	1
Fri Nov 24 20:32:10 2017	1511577130	0	1	1	1
Fri Nov 24 20:32:07 2017	1511577127	0	1	1	1
Fri Nov 24 20:32:07 2017	1511577127	0	1	1	1
Fri Nov 24 20:32:07 2017	1511577127	0	1	1	1
Fri Nov 24 20:32:07 2017	1511577127	0	1	1	1
Fri Nov 24 20:32:09 2017	1511577129	0	1	1	1
Fri Nov 24 20:32:09 2017	1511577129	0	1	1	1
Fri Nov 24 20:32:07 2017	1511577127	0	1	1	1
Fri Nov 24 20:32:10 2017	1511577130	0	1	1	1
Fri Nov 24 20:32:08 2017	1511577128	0	1	1	1
Fri Nov 24 20:32:08 2017	1511577128	0	1	1	1
Fri Nov 24 20:32:08 2017	1511577128	0	1	1	1
Fri Nov 24 20:32:10 2017	1511577130	0	1	1	1
Fri Nov 24 20:32:08 2017	1511577128	0	1	1	1
Fri Nov 24 20:32:08 2017	1511577128	0	1	1	1
Fri Nov 24 20:32:09 2017	1511577129	0	1	1	1
Fri Nov 24 20:32:08 2017	1511577128	0	1	1	1
Fri Nov 24 20:32:10 2017	1511577130	0	1	1	1
Fri Nov 24 20:32:08 2017	1511577128	0	1	1	1
Fri Nov 24 20:32:09 2017	1511577129	0	1	1	1
Fri Nov 24 20:32:10 2017	1511577130	0	1	1	1
Fri Nov 24 20:32:10 2017	1511577130	0	1	1	1
Fri Nov 24 20:32:09 2017	1511577129	0	1	1	1
Fri Nov 24 20:32:07 2017	1511577127	0	1	1	1
Fri Nov 24 20:32:09 2017	1511577129	0	1	2	1
Fri Nov 24 20:32:09 2017	1511577129	0	1	2	1
Fri Nov 24 20:32:08 2017	1511577128	0	1	2	1
Fri Nov 24 20:32:07 2017	1511577127	0	2	2	1
Fri Nov 24 20:32:08 2017	1511577128	0	1	2	1
Fri Nov 24 20:32:07 2017	1511577127	0	1	2	1
Fri Nov 24 20:32:07 2017	1511577127	0	1	2	1
Fri Nov 24 20:32:09 2017	1511577129	0	1	2	1
Fri Nov 24 20:32:09 2017	1511577129	0	1	2	1
Fri Nov 24 20:32:07 2017	1511577127	0	2	2	1
Fri Nov 24 20:32:08 2017	1511577128	0	2	2	1
Fri Nov 24 20:32:08 2017	1511577128	0	2	2	1
Fri Nov 24 20:32:09 2017	1511577129	0	1	2	1
Fri Nov 24 20:32:10 2017	1511577130	0	2	2	1
Fri Nov 24 20:32:07 2017	1511577127	0	2	2	1
Fri Nov 24 20:32:09 2017	1511577129	0	2	2	1
Fri Nov 24 20:32:08 2017	1511577128	0	2	2	2
Fri Nov 24 20:32:07 2017	1511577127	0	2	2	2
Fri Nov 24 20:32:09 2017	1511577129	0	2	2	2
Fri Nov 24 20:32:08 2017	1511577128	0	2	2	2
Fri Nov 24 20:32:08 2017	1511577128	0	2	2	2
Fri Nov 24 20:32:09 2017	1511577129	0	2	2	2
Fri Nov 24 20:32:07 2017	1511577127	0	2	2	2
Fri Nov 24 20:32:09 2017	1511577129	0	2	2	2
Fri Nov 24 20:32:09 2017	1511577129	0	2	2	2
Fri Nov 24 20:32:07 2017	1511577127	0	2	2	2
Fri Nov 24 20:32:08 2017	1511577128	0	2	2	2
Fri Nov 24 20:32:08 2017	1511577128	0	2	2	2
Fri Nov 24 20:32:07 2017	1511577127	0	2	2	2
Fri Nov 24 20:32:08 2017	1511577128	0	2	2	2
Fri Nov 24 20:32:07 2017	1511577127	0	2	2	2
Fri Nov 24 20:32:09 2017	1511577129	0	2	2	2
Fri Nov 24 20:32:08 2017	1511577128	0	2	2	2
Fri Nov 24 20:32:09 2017	1511577129	0	2	2	2
Fri Nov 24 20:32:07 2017	1511577127	0	2	2	2
Fri Nov 24 20:32:07 2017	1511577127	0	2	2	2
Fri Nov 24 20:32:07 2017	1511577127	0	2	2	2
Fri Nov 24 20:32:07 2017	1511577127	0	2	2	2
Fri Nov 24 20:32:10 2017	1511577130	0	2	2	2
