starttime	seconds	ctime	dtime	ttime	wait
Sun Nov 26 17:21:48 2017	1511734908	0	0	0	0
Sun Nov 26 17:21:48 2017	1511734908	0	0	0	0
Sun Nov 26 17:21:48 2017	1511734908	0	0	0	0
Sun Nov 26 17:21:48 2017	1511734908	0	0	1	0
Sun Nov 26 17:21:48 2017	1511734908	0	0	1	0
Sun Nov 26 17:21:48 2017	1511734908	0	0	1	0
Sun Nov 26 17:21:48 2017	1511734908	0	0	1	0
Sun Nov 26 17:21:48 2017	1511734908	0	1	1	0
Sun Nov 26 17:21:48 2017	1511734908	0	1	1	1
Sun Nov 26 17:21:48 2017	1511734908	0	1	1	1
Sun Nov 26 17:21:48 2017	1511734908	0	1	1	1
Sun Nov 26 17:21:48 2017	1511734908	0	1	1	1
Sun Nov 26 17:21:49 2017	1511734909	0	1	1	1
Sun Nov 26 17:21:49 2017	1511734909	0	1	1	1
Sun Nov 26 17:21:48 2017	1511734908	0	1	1	1
Sun Nov 26 17:21:48 2017	1511734908	0	1	1	1
Sun Nov 26 17:21:48 2017	1511734908	0	1	1	1
Sun Nov 26 17:21:48 2017	1511734908	0	1	1	1
Sun Nov 26 17:21:48 2017	1511734908	0	1	1	1
Sun Nov 26 17:21:48 2017	1511734908	0	1	1	1
Sun Nov 26 17:21:49 2017	1511734909	0	1	1	1
Sun Nov 26 17:21:49 2017	1511734909	0	1	1	1
Sun Nov 26 17:21:48 2017	1511734908	0	1	1	1
Sun Nov 26 17:21:48 2017	1511734908	0	1	1	1
Sun Nov 26 17:21:48 2017	1511734908	0	1	1	1
Sun Nov 26 17:21:49 2017	1511734909	0	1	1	1
Sun Nov 26 17:21:48 2017	1511734908	0	1	1	1
Sun Nov 26 17:21:48 2017	1511734908	0	1	1	1
Sun Nov 26 17:21:48 2017	1511734908	0	1	1	1
Sun Nov 26 17:21:49 2017	1511734909	1	1	2	1
Sun Nov 26 17:21:48 2017	1511734908	1	2	2	2
Sun Nov 26 17:21:48 2017	1511734908	0	2	2	2
Sun Nov 26 17:21:48 2017	1511734908	0	2	2	2
Sun Nov 26 17:21:48 2017	1511734908	0	2	3	2
Sun Nov 26 17:21:48 2017	1511734908	0	2	3	2
Sun Nov 26 17:21:48 2017	1511734908	0	101	101	101
Sun Nov 26 17:21:49 2017	1511734909	0	101	101	101
Sun Nov 26 17:21:48 2017	1511734908	0	101	101	101
Sun Nov 26 17:21:49 2017	1511734909	0	101	101	101
Sun Nov 26 17:21:48 2017	1511734908	0	101	101	101
Sun Nov 26 17:21:48 2017	1511734908	0	101	101	101
Sun Nov 26 17:21:48 2017	1511734908	0	101	102	101
Sun Nov 26 17:21:48 2017	1511734908	0	102	102	102
Sun Nov 26 17:21:48 2017	1511734908	0	102	102	102
Sun Nov 26 17:21:48 2017	1511734908	0	102	102	102
Sun Nov 26 17:21:48 2017	1511734908	0	102	102	102
Sun Nov 26 17:21:48 2017	1511734908	0	102	102	102
Sun Nov 26 17:21:49 2017	1511734909	0	102	102	102
Sun Nov 26 17:21:48 2017	1511734908	0	102	102	102
Sun Nov 26 17:21:49 2017	1511734909	0	102	102	102
Sun Nov 26 17:21:48 2017	1511734908	0	102	103	102
Sun Nov 26 17:21:48 2017	1511734908	0	102	103	102
Sun Nov 26 17:21:48 2017	1511734908	0	102	103	102
Sun Nov 26 17:21:48 2017	1511734908	0	103	103	103
Sun Nov 26 17:21:48 2017	1511734908	0	103	103	103
Sun Nov 26 17:21:48 2017	1511734908	0	103	104	103
Sun Nov 26 17:21:48 2017	1511734908	0	104	104	104
Sun Nov 26 17:21:49 2017	1511734909	0	103	104	103
Sun Nov 26 17:21:49 2017	1511734909	0	104	104	104
Sun Nov 26 17:21:48 2017	1511734908	0	104	104	104
Sun Nov 26 17:21:49 2017	1511734909	0	104	104	104
Sun Nov 26 17:21:48 2017	1511734908	0	104	105	104
Sun Nov 26 17:21:48 2017	1511734908	0	105	105	105
Sun Nov 26 17:21:48 2017	1511734908	0	105	105	105
Sun Nov 26 17:21:48 2017	1511734908	0	105	106	105
Sun Nov 26 17:21:48 2017	1511734908	0	106	106	106
Sun Nov 26 17:21:48 2017	1511734908	0	106	106	106
Sun Nov 26 17:21:49 2017	1511734909	0	106	106	106
Sun Nov 26 17:21:49 2017	1511734909	0	106	106	106
Sun Nov 26 17:21:48 2017	1511734908	0	106	107	106
Sun Nov 26 17:21:49 2017	1511734909	1	106	107	106
Sun Nov 26 17:21:49 2017	1511734909	1	106	107	106
Sun Nov 26 17:21:48 2017	1511734908	0	107	107	107
Sun Nov 26 17:21:48 2017	1511734908	0	107	107	107
Sun Nov 26 17:21:48 2017	1511734908	0	107	108	107
Sun Nov 26 17:21:48 2017	1511734908	0	201	201	201
Sun Nov 26 17:21:49 2017	1511734909	0	201	201	201
Sun Nov 26 17:21:48 2017	1511734908	0	201	202	201
Sun Nov 26 17:21:48 2017	1511734908	0	202	202	202
Sun Nov 26 17:21:48 2017	1511734908	0	202	202	202
Sun Nov 26 17:21:48 2017	1511734908	0	202	202	202
Sun Nov 26 17:21:48 2017	1511734908	0	202	202	202
Sun Nov 26 17:21:48 2017	1511734908	0	202	202	202
Sun Nov 26 17:21:48 2017	1511734908	0	202	203	202
Sun Nov 26 17:21:48 2017	1511734908	0	202	203	202
Sun Nov 26 17:21:49 2017	1511734909	0	204	204	204
Sun Nov 26 17:21:48 2017	1511734908	0	204	204	204
Sun Nov 26 17:21:49 2017	1511734909	1	205	205	205
Sun Nov 26 17:21:48 2017	1511734908	0	205	206	205
Sun Nov 26 17:21:48 2017	1511734908	0	206	206	206
Sun Nov 26 17:21:48 2017	1511734908	0	302	302	302
Sun Nov 26 17:21:48 2017	1511734908	0	302	302	302
Sun Nov 26 17:21:48 2017	1511734908	0	305	306	305
Sun Nov 26 17:21:48 2017	1511734908	0	306	306	306
Sun Nov 26 17:21:48 2017	1511734908	0	306	306	306
Sun Nov 26 17:21:49 2017	1511734909	0	306	307	306
Sun Nov 26 17:21:48 2017	1511734908	0	404	404	404
Sun Nov 26 17:21:48 2017	1511734908	0	406	407	406
Sun Nov 26 17:21:49 2017	1511734909	1	406	407	406
Sun Nov 26 17:21:49 2017	1511734909	0	505	505	505
