starttime	seconds	ctime	dtime	ttime	wait
Fri Nov 24 20:23:23 2017	1511576603	0	1	1	0
Fri Nov 24 20:24:06 2017	1511576646	0	1	1	0
Fri Nov 24 20:23:47 2017	1511576627	0	1	1	0
Fri Nov 24 20:23:13 2017	1511576593	0	1	1	1
Fri Nov 24 20:23:26 2017	1511576606	0	1	1	1
Fri Nov 24 20:23:53 2017	1511576633	0	1	1	1
Fri Nov 24 20:22:49 2017	1511576569	0	1	1	1
Fri Nov 24 20:23:23 2017	1511576603	0	1	1	1
Fri Nov 24 20:23:12 2017	1511576592	0	1	1	1
Fri Nov 24 20:22:49 2017	1511576569	0	1	1	1
Fri Nov 24 20:23:14 2017	1511576594	0	1	1	1
Fri Nov 24 20:23:38 2017	1511576618	0	1	1	1
Fri Nov 24 20:22:49 2017	1511576569	0	1	1	1
Fri Nov 24 20:23:13 2017	1511576593	0	1	1	1
Fri Nov 24 20:23:13 2017	1511576593	0	1	1	1
Fri Nov 24 20:23:58 2017	1511576638	0	1	1	1
Fri Nov 24 20:23:26 2017	1511576606	0	1	1	1
Fri Nov 24 20:22:45 2017	1511576565	0	1	1	1
Fri Nov 24 20:22:49 2017	1511576569	0	1	1	1
Fri Nov 24 20:24:03 2017	1511576643	0	1	1	1
Fri Nov 24 20:23:38 2017	1511576618	0	1	1	1
Fri Nov 24 20:22:31 2017	1511576551	0	1	1	1
Fri Nov 24 20:24:03 2017	1511576643	0	1	1	1
Fri Nov 24 20:23:14 2017	1511576594	0	1	1	1
Fri Nov 24 20:23:42 2017	1511576622	0	1	1	1
Fri Nov 24 20:22:41 2017	1511576561	0	1	1	1
Fri Nov 24 20:23:47 2017	1511576627	0	1	1	1
Fri Nov 24 20:23:06 2017	1511576586	0	1	1	1
Fri Nov 24 20:22:39 2017	1511576559	0	1	1	1
Fri Nov 24 20:23:58 2017	1511576638	0	1	1	1
Fri Nov 24 20:23:04 2017	1511576584	0	1	1	1
Fri Nov 24 20:23:58 2017	1511576638	0	1	1	1
Fri Nov 24 20:22:52 2017	1511576572	0	1	1	1
Fri Nov 24 20:23:39 2017	1511576619	0	1	1	1
Fri Nov 24 20:23:18 2017	1511576598	0	1	1	1
Fri Nov 24 20:23:13 2017	1511576593	0	1	1	1
Fri Nov 24 20:22:49 2017	1511576569	0	1	1	1
Fri Nov 24 20:24:02 2017	1511576642	0	1	1	1
Fri Nov 24 20:24:08 2017	1511576648	0	1	1	1
Fri Nov 24 20:23:08 2017	1511576588	0	1	1	1
Fri Nov 24 20:23:04 2017	1511576584	0	1	1	1
Fri Nov 24 20:24:10 2017	1511576650	0	1	1	1
Fri Nov 24 20:22:40 2017	1511576560	0	1	1	1
Fri Nov 24 20:22:31 2017	1511576551	0	1	1	1
Fri Nov 24 20:24:09 2017	1511576649	0	1	1	1
Fri Nov 24 20:23:03 2017	1511576583	0	1	1	1
Fri Nov 24 20:23:11 2017	1511576591	0	1	1	1
Fri Nov 24 20:23:41 2017	1511576621	0	1	1	1
Fri Nov 24 20:23:40 2017	1511576620	0	1	1	1
Fri Nov 24 20:24:02 2017	1511576642	0	1	1	1
Fri Nov 24 20:22:53 2017	1511576573	0	1	1	1
Fri Nov 24 20:23:18 2017	1511576598	0	1	1	1
Fri Nov 24 20:22:49 2017	1511576569	0	1	1	1
Fri Nov 24 20:22:32 2017	1511576552	0	1	1	1
Fri Nov 24 20:23:13 2017	1511576593	0	1	1	1
Fri Nov 24 20:23:30 2017	1511576610	0	1	1	1
Fri Nov 24 20:22:54 2017	1511576574	0	1	1	1
Fri Nov 24 20:24:00 2017	1511576640	0	1	1	1
Fri Nov 24 20:23:45 2017	1511576625	0	1	1	1
Fri Nov 24 20:23:31 2017	1511576611	0	1	1	1
Fri Nov 24 20:23:05 2017	1511576585	0	1	1	1
Fri Nov 24 20:24:02 2017	1511576642	0	1	1	1
Fri Nov 24 20:22:32 2017	1511576552	0	1	1	1
Fri Nov 24 20:23:55 2017	1511576635	0	1	1	1
Fri Nov 24 20:22:32 2017	1511576552	0	1	1	1
Fri Nov 24 20:23:06 2017	1511576586	0	1	1	1
