starttime	seconds	ctime	dtime	ttime	wait
Sat Nov 25 19:18:55 2017	1511655535	0	1	1	1
Sat Nov 25 19:18:56 2017	1511655536	0	1	1	1
Sat Nov 25 19:19:00 2017	1511655540	0	1	1	1
Sat Nov 25 19:19:00 2017	1511655540	0	1	1	1
Sat Nov 25 19:18:58 2017	1511655538	0	1	1	1
Sat Nov 25 19:19:01 2017	1511655541	0	1	1	1
Sat Nov 25 19:19:00 2017	1511655540	0	1	1	1
Sat Nov 25 19:18:57 2017	1511655537	0	1	1	1
Sat Nov 25 19:18:55 2017	1511655535	0	1	1	1
Sat Nov 25 19:19:01 2017	1511655541	0	1	1	1
Sat Nov 25 19:18:57 2017	1511655537	0	1	1	1
Sat Nov 25 19:19:00 2017	1511655540	0	1	1	1
Sat Nov 25 19:18:57 2017	1511655537	0	1	1	1
Sat Nov 25 19:19:00 2017	1511655540	0	1	1	1
Sat Nov 25 19:18:56 2017	1511655536	0	1	1	1
Sat Nov 25 19:18:57 2017	1511655537	0	1	1	1
Sat Nov 25 19:18:55 2017	1511655535	0	1	1	1
Sat Nov 25 19:19:00 2017	1511655540	0	1	1	1
Sat Nov 25 19:19:01 2017	1511655541	0	1	1	1
Sat Nov 25 19:18:59 2017	1511655539	0	1	1	1
Sat Nov 25 19:18:58 2017	1511655538	0	1	1	1
Sat Nov 25 19:18:52 2017	1511655532	0	1	1	1
Sat Nov 25 19:18:56 2017	1511655536	0	1	1	1
Sat Nov 25 19:18:57 2017	1511655537	0	1	1	1
Sat Nov 25 19:18:58 2017	1511655538	0	1	1	1
Sat Nov 25 19:18:59 2017	1511655539	0	1	1	1
Sat Nov 25 19:18:59 2017	1511655539	0	1	1	1
Sat Nov 25 19:18:52 2017	1511655532	0	1	1	1
Sat Nov 25 19:18:57 2017	1511655537	0	1	1	1
Sat Nov 25 19:18:58 2017	1511655538	0	1	1	1
Sat Nov 25 19:19:01 2017	1511655541	0	1	1	1
Sat Nov 25 19:18:54 2017	1511655534	0	1	1	1
Sat Nov 25 19:19:00 2017	1511655540	0	1	1	1
Sat Nov 25 19:18:52 2017	1511655532	0	1	1	1
Sat Nov 25 19:19:00 2017	1511655540	0	1	1	1
Sat Nov 25 19:18:53 2017	1511655533	0	1	1	1
Sat Nov 25 19:18:54 2017	1511655534	0	1	1	1
Sat Nov 25 19:18:54 2017	1511655534	0	1	1	1
Sat Nov 25 19:19:01 2017	1511655541	0	1	1	1
Sat Nov 25 19:18:53 2017	1511655533	0	1	1	1
Sat Nov 25 19:19:00 2017	1511655540	0	1	1	1
Sat Nov 25 19:18:52 2017	1511655532	0	1	1	1
Sat Nov 25 19:18:56 2017	1511655536	0	1	1	1
Sat Nov 25 19:18:53 2017	1511655533	0	1	1	1
Sat Nov 25 19:18:54 2017	1511655534	0	1	1	1
Sat Nov 25 19:18:55 2017	1511655535	0	1	1	1
Sat Nov 25 19:18:52 2017	1511655532	0	1	1	1
Sat Nov 25 19:18:58 2017	1511655538	0	1	1	1
Sat Nov 25 19:18:54 2017	1511655534	0	1	1	1
Sat Nov 25 19:18:52 2017	1511655532	0	1	1	1
Sat Nov 25 19:19:00 2017	1511655540	0	1	1	1
Sat Nov 25 19:18:55 2017	1511655535	0	1	1	1
Sat Nov 25 19:18:54 2017	1511655534	0	1	1	1
Sat Nov 25 19:18:54 2017	1511655534	0	1	1	1
Sat Nov 25 19:19:00 2017	1511655540	0	1	1	1
Sat Nov 25 19:18:56 2017	1511655536	0	1	1	1
Sat Nov 25 19:18:56 2017	1511655536	0	1	1	1
Sat Nov 25 19:18:58 2017	1511655538	0	1	1	1
Sat Nov 25 19:19:00 2017	1511655540	0	1	1	1
Sat Nov 25 19:19:00 2017	1511655540	0	1	1	1
Sat Nov 25 19:19:01 2017	1511655541	0	1	1	1
Sat Nov 25 19:18:59 2017	1511655539	0	1	1	1
Sat Nov 25 19:18:57 2017	1511655537	0	1	1	1
Sat Nov 25 19:19:01 2017	1511655541	0	1	1	1
Sat Nov 25 19:19:00 2017	1511655540	0	1	1	1
Sat Nov 25 19:19:00 2017	1511655540	0	1	1	1
Sat Nov 25 19:18:57 2017	1511655537	0	1	1	1
Sat Nov 25 19:18:56 2017	1511655536	0	1	1	1
Sat Nov 25 19:19:01 2017	1511655541	0	1	1	1
Sat Nov 25 19:18:59 2017	1511655539	0	1	1	1
Sat Nov 25 19:18:54 2017	1511655534	0	1	1	1
Sat Nov 25 19:18:56 2017	1511655536	0	1	1	1
Sat Nov 25 19:18:59 2017	1511655539	0	1	1	1
Sat Nov 25 19:18:53 2017	1511655533	0	1	1	1
Sat Nov 25 19:18:57 2017	1511655537	0	1	1	1
Sat Nov 25 19:18:53 2017	1511655533	1	1	1	1
Sat Nov 25 19:18:56 2017	1511655536	0	1	1	1
Sat Nov 25 19:18:58 2017	1511655538	0	1	1	1
Sat Nov 25 19:18:56 2017	1511655536	0	1	1	1
Sat Nov 25 19:19:01 2017	1511655541	0	1	1	1
Sat Nov 25 19:18:58 2017	1511655538	0	1	1	1
Sat Nov 25 19:18:53 2017	1511655533	0	1	1	1
Sat Nov 25 19:18:57 2017	1511655537	0	1	1	1
Sat Nov 25 19:18:58 2017	1511655538	0	1	1	1
Sat Nov 25 19:18:58 2017	1511655538	0	1	1	1
Sat Nov 25 19:19:00 2017	1511655540	0	1	1	1
Sat Nov 25 19:18:54 2017	1511655534	0	1	1	1
Sat Nov 25 19:18:58 2017	1511655538	0	1	1	1
Sat Nov 25 19:18:56 2017	1511655536	0	1	1	1
Sat Nov 25 19:18:57 2017	1511655537	0	1	1	1
Sat Nov 25 19:19:00 2017	1511655540	1	1	1	1
Sat Nov 25 19:19:00 2017	1511655540	0	1	1	1
Sat Nov 25 19:18:57 2017	1511655537	0	1	1	1
Sat Nov 25 19:18:58 2017	1511655538	0	1	1	1
Sat Nov 25 19:18:57 2017	1511655537	0	1	2	1
Sat Nov 25 19:18:56 2017	1511655536	0	1	2	1
Sat Nov 25 19:18:51 2017	1511655531	0	1	2	1
Sat Nov 25 19:18:58 2017	1511655538	0	1	2	1
Sat Nov 25 19:18:56 2017	1511655536	0	1	2	1
Sat Nov 25 19:18:59 2017	1511655539	0	1	2	1
Sat Nov 25 19:18:52 2017	1511655532	0	1	2	1
Sat Nov 25 19:19:00 2017	1511655540	0	1	2	1
Sat Nov 25 19:18:54 2017	1511655534	0	1	2	1
Sat Nov 25 19:18:52 2017	1511655532	0	1	2	1
Sat Nov 25 19:19:01 2017	1511655541	1	1	2	1
Sat Nov 25 19:18:52 2017	1511655532	1	1	2	1
Sat Nov 25 19:18:57 2017	1511655537	1	1	2	1
Sat Nov 25 19:18:52 2017	1511655532	0	1	2	1
Sat Nov 25 19:18:55 2017	1511655535	0	1	2	1
Sat Nov 25 19:18:59 2017	1511655539	1	1	2	1
Sat Nov 25 19:19:01 2017	1511655541	1	1	2	1
Sat Nov 25 19:18:56 2017	1511655536	0	1	2	1
Sat Nov 25 19:18:56 2017	1511655536	0	1	2	1
Sat Nov 25 19:18:52 2017	1511655532	0	1	2	1
Sat Nov 25 19:18:58 2017	1511655538	1	1	2	1
Sat Nov 25 19:19:01 2017	1511655541	1	1	2	1
Sat Nov 25 19:18:59 2017	1511655539	1	1	2	1
Sat Nov 25 19:18:52 2017	1511655532	0	1	2	1
Sat Nov 25 19:18:59 2017	1511655539	1	1	2	1
Sat Nov 25 19:18:59 2017	1511655539	0	1	2	1
Sat Nov 25 19:18:59 2017	1511655539	1	1	2	1
Sat Nov 25 19:18:57 2017	1511655537	0	1	2	1
Sat Nov 25 19:18:59 2017	1511655539	1	1	2	1
Sat Nov 25 19:18:57 2017	1511655537	1	1	2	1
Sat Nov 25 19:18:52 2017	1511655532	0	1	2	1
Sat Nov 25 19:18:59 2017	1511655539	1	1	2	1
Sat Nov 25 19:18:58 2017	1511655538	1	1	2	1
Sat Nov 25 19:19:00 2017	1511655540	0	1	2	1
Sat Nov 25 19:18:57 2017	1511655537	1	1	2	1
Sat Nov 25 19:19:00 2017	1511655540	1	1	2	1
Sat Nov 25 19:18:57 2017	1511655537	1	1	2	1
Sat Nov 25 19:19:01 2017	1511655541	1	1	2	1
Sat Nov 25 19:19:01 2017	1511655541	1	1	2	1
Sat Nov 25 19:19:01 2017	1511655541	1	1	2	1
Sat Nov 25 19:18:54 2017	1511655534	0	1	2	1
Sat Nov 25 19:18:58 2017	1511655538	1	1	2	1
Sat Nov 25 19:18:56 2017	1511655536	1	1	2	1
Sat Nov 25 19:18:56 2017	1511655536	1	1	2	1
Sat Nov 25 19:18:57 2017	1511655537	1	1	2	1
Sat Nov 25 19:18:58 2017	1511655538	1	1	2	1
Sat Nov 25 19:18:59 2017	1511655539	1	1	2	1
Sat Nov 25 19:18:58 2017	1511655538	1	1	2	1
Sat Nov 25 19:18:56 2017	1511655536	0	1	2	1
Sat Nov 25 19:18:53 2017	1511655533	0	1	2	1
Sat Nov 25 19:19:00 2017	1511655540	1	1	2	1
Sat Nov 25 19:18:56 2017	1511655536	1	1	2	1
Sat Nov 25 19:19:00 2017	1511655540	1	1	2	1
Sat Nov 25 19:18:58 2017	1511655538	1	1	2	1
Sat Nov 25 19:18:59 2017	1511655539	1	1	2	1
Sat Nov 25 19:18:56 2017	1511655536	1	1	2	1
Sat Nov 25 19:18:57 2017	1511655537	1	1	2	1
Sat Nov 25 19:19:00 2017	1511655540	1	1	2	1
Sat Nov 25 19:18:59 2017	1511655539	1	1	2	1
Sat Nov 25 19:18:51 2017	1511655531	0	1	2	1
Sat Nov 25 19:18:56 2017	1511655536	0	1	2	1
Sat Nov 25 19:18:58 2017	1511655538	1	1	2	1
Sat Nov 25 19:18:58 2017	1511655538	1	1	2	1
Sat Nov 25 19:18:56 2017	1511655536	1	1	2	1
Sat Nov 25 19:19:00 2017	1511655540	1	1	2	1
Sat Nov 25 19:19:01 2017	1511655541	1	1	2	1
Sat Nov 25 19:19:00 2017	1511655540	1	1	2	1
Sat Nov 25 19:18:59 2017	1511655539	1	1	2	1
Sat Nov 25 19:18:53 2017	1511655533	0	1	2	1
Sat Nov 25 19:18:52 2017	1511655532	0	1	2	1
Sat Nov 25 19:18:58 2017	1511655538	1	1	2	1
Sat Nov 25 19:18:56 2017	1511655536	0	1	2	1
Sat Nov 25 19:18:55 2017	1511655535	1	1	2	1
Sat Nov 25 19:18:58 2017	1511655538	1	1	2	1
Sat Nov 25 19:18:56 2017	1511655536	0	1	2	1
Sat Nov 25 19:19:00 2017	1511655540	1	1	2	1
Sat Nov 25 19:18:53 2017	1511655533	0	2	2	2
Sat Nov 25 19:19:00 2017	1511655540	1	1	2	1
Sat Nov 25 19:18:56 2017	1511655536	0	2	2	2
Sat Nov 25 19:19:00 2017	1511655540	1	1	2	1
Sat Nov 25 19:18:52 2017	1511655532	1	1	2	1
Sat Nov 25 19:18:54 2017	1511655534	0	1	2	1
Sat Nov 25 19:18:59 2017	1511655539	0	1	2	1
Sat Nov 25 19:19:01 2017	1511655541	0	2	2	2
Sat Nov 25 19:19:01 2017	1511655541	0	2	2	2
Sat Nov 25 19:18:51 2017	1511655531	1	1	2	1
Sat Nov 25 19:19:00 2017	1511655540	0	2	2	2
Sat Nov 25 19:19:01 2017	1511655541	0	2	2	2
Sat Nov 25 19:18:57 2017	1511655537	1	1	2	1
Sat Nov 25 19:19:00 2017	1511655540	0	2	2	2
Sat Nov 25 19:18:59 2017	1511655539	0	2	2	2
Sat Nov 25 19:18:57 2017	1511655537	0	2	2	2
Sat Nov 25 19:18:59 2017	1511655539	0	2	2	1
Sat Nov 25 19:19:00 2017	1511655540	0	2	2	2
Sat Nov 25 19:18:57 2017	1511655537	0	2	2	2
Sat Nov 25 19:18:58 2017	1511655538	0	2	2	2
Sat Nov 25 19:18:54 2017	1511655534	0	2	2	1
Sat Nov 25 19:19:00 2017	1511655540	0	2	2	2
Sat Nov 25 19:18:59 2017	1511655539	0	2	2	2
Sat Nov 25 19:18:58 2017	1511655538	0	2	2	2
Sat Nov 25 19:19:01 2017	1511655541	0	2	2	2
Sat Nov 25 19:19:01 2017	1511655541	0	2	2	2
Sat Nov 25 19:19:00 2017	1511655540	1	1	2	1
Sat Nov 25 19:19:01 2017	1511655541	1	1	2	1
Sat Nov 25 19:19:01 2017	1511655541	0	2	2	2
Sat Nov 25 19:19:01 2017	1511655541	0	2	2	2
Sat Nov 25 19:19:00 2017	1511655540	0	2	2	2
Sat Nov 25 19:18:58 2017	1511655538	0	2	2	2
Sat Nov 25 19:19:00 2017	1511655540	0	2	2	2
Sat Nov 25 19:19:01 2017	1511655541	1	1	2	1
