starttime	seconds	ctime	dtime	ttime	wait
Sat Nov 25 20:10:48 2017	1511658648	0	1	1	1
Sat Nov 25 20:10:26 2017	1511658626	0	1	1	1
Sat Nov 25 20:10:53 2017	1511658653	0	1	1	1
Sat Nov 25 20:11:49 2017	1511658709	0	1	1	1
Sat Nov 25 20:11:10 2017	1511658670	0	1	1	1
Sat Nov 25 20:10:48 2017	1511658648	0	1	1	1
Sat Nov 25 20:11:47 2017	1511658707	0	1	1	1
Sat Nov 25 20:11:49 2017	1511658709	0	1	1	1
Sat Nov 25 20:10:53 2017	1511658653	0	1	1	1
Sat Nov 25 20:10:28 2017	1511658628	0	1	1	1
Sat Nov 25 20:11:22 2017	1511658682	0	1	1	1
Sat Nov 25 20:10:53 2017	1511658653	0	1	1	1
Sat Nov 25 20:10:59 2017	1511658659	0	1	1	1
Sat Nov 25 20:11:47 2017	1511658707	0	1	1	1
Sat Nov 25 20:10:51 2017	1511658651	0	1	1	1
Sat Nov 25 20:11:55 2017	1511658715	0	1	1	1
Sat Nov 25 20:10:50 2017	1511658650	0	1	1	1
Sat Nov 25 20:12:00 2017	1511658720	0	1	1	1
Sat Nov 25 20:12:01 2017	1511658721	0	1	1	1
Sat Nov 25 20:11:47 2017	1511658707	0	1	1	1
Sat Nov 25 20:11:33 2017	1511658693	0	1	1	1
Sat Nov 25 20:10:50 2017	1511658650	0	1	1	1
Sat Nov 25 20:10:50 2017	1511658650	0	1	1	1
Sat Nov 25 20:10:53 2017	1511658653	0	1	1	1
Sat Nov 25 20:10:36 2017	1511658636	0	1	1	1
Sat Nov 25 20:10:55 2017	1511658655	0	1	1	1
Sat Nov 25 20:10:37 2017	1511658637	0	1	1	1
Sat Nov 25 20:11:32 2017	1511658692	0	1	1	1
Sat Nov 25 20:11:36 2017	1511658696	0	1	1	1
Sat Nov 25 20:11:16 2017	1511658676	0	1	1	1
Sat Nov 25 20:12:01 2017	1511658721	0	1	1	1
Sat Nov 25 20:11:55 2017	1511658715	0	1	1	1
Sat Nov 25 20:11:34 2017	1511658694	0	1	1	1
Sat Nov 25 20:11:49 2017	1511658709	0	1	1	1
Sat Nov 25 20:11:13 2017	1511658673	0	1	1	1
Sat Nov 25 20:10:26 2017	1511658626	0	1	1	1
Sat Nov 25 20:10:55 2017	1511658655	0	1	1	1
Sat Nov 25 20:10:26 2017	1511658626	0	1	1	1
Sat Nov 25 20:10:55 2017	1511658655	0	1	1	1
Sat Nov 25 20:11:04 2017	1511658664	0	1	1	1
Sat Nov 25 20:10:55 2017	1511658655	0	1	1	1
Sat Nov 25 20:10:23 2017	1511658623	0	1	1	1
Sat Nov 25 20:10:53 2017	1511658653	0	1	1	1
Sat Nov 25 20:11:11 2017	1511658671	0	1	1	1
Sat Nov 25 20:11:29 2017	1511658689	0	1	1	1
Sat Nov 25 20:11:36 2017	1511658696	0	1	1	1
Sat Nov 25 20:10:28 2017	1511658628	0	1	1	1
Sat Nov 25 20:10:55 2017	1511658655	0	1	1	1
Sat Nov 25 20:11:17 2017	1511658677	0	1	1	1
Sat Nov 25 20:10:55 2017	1511658655	0	1	1	1
Sat Nov 25 20:11:32 2017	1511658692	0	1	1	1
Sat Nov 25 20:11:51 2017	1511658711	0	1	1	1
Sat Nov 25 20:11:14 2017	1511658674	0	1	1	1
Sat Nov 25 20:11:11 2017	1511658671	0	1	1	1
Sat Nov 25 20:10:26 2017	1511658626	0	1	1	1
Sat Nov 25 20:11:03 2017	1511658663	0	1	1	1
Sat Nov 25 20:10:56 2017	1511658656	0	1	1	1
Sat Nov 25 20:11:33 2017	1511658693	0	1	1	1
Sat Nov 25 20:10:55 2017	1511658655	0	1	1	1
Sat Nov 25 20:10:50 2017	1511658650	0	1	1	1
