starttime	seconds	ctime	dtime	ttime	wait
Sun Dec 03 21:42:28 2017	1512355348	0	1	1	1
Sun Dec 03 21:42:30 2017	1512355350	0	1	1	1
Sun Dec 03 21:42:28 2017	1512355348	0	1	1	1
Sun Dec 03 21:42:27 2017	1512355347	0	1	1	1
Sun Dec 03 21:42:30 2017	1512355350	0	1	1	1
Sun Dec 03 21:42:29 2017	1512355349	0	1	1	1
Sun Dec 03 21:42:30 2017	1512355350	0	1	1	1
Sun Dec 03 21:42:30 2017	1512355350	0	1	1	1
Sun Dec 03 21:42:27 2017	1512355347	0	1	1	1
Sun Dec 03 21:42:27 2017	1512355347	0	1	1	1
Sun Dec 03 21:42:30 2017	1512355350	0	1	1	1
Sun Dec 03 21:42:30 2017	1512355350	0	1	1	1
Sun Dec 03 21:42:27 2017	1512355347	0	1	1	1
Sun Dec 03 21:42:29 2017	1512355349	0	1	1	1
Sun Dec 03 21:42:29 2017	1512355349	0	1	1	1
Sun Dec 03 21:42:27 2017	1512355347	0	1	1	1
Sun Dec 03 21:42:27 2017	1512355347	0	1	1	1
Sun Dec 03 21:42:30 2017	1512355350	0	1	1	1
Sun Dec 03 21:42:27 2017	1512355347	0	1	1	1
Sun Dec 03 21:42:28 2017	1512355348	0	1	1	1
Sun Dec 03 21:42:28 2017	1512355348	0	1	1	1
Sun Dec 03 21:42:28 2017	1512355348	0	1	1	1
Sun Dec 03 21:42:30 2017	1512355350	0	1	1	1
Sun Dec 03 21:42:30 2017	1512355350	0	1	1	1
Sun Dec 03 21:42:28 2017	1512355348	0	1	1	1
Sun Dec 03 21:42:28 2017	1512355348	0	1	1	1
Sun Dec 03 21:42:28 2017	1512355348	0	1	1	1
Sun Dec 03 21:42:28 2017	1512355348	0	1	1	1
Sun Dec 03 21:42:29 2017	1512355349	0	1	1	1
Sun Dec 03 21:42:29 2017	1512355349	0	1	1	1
Sun Dec 03 21:42:28 2017	1512355348	0	1	1	1
Sun Dec 03 21:42:29 2017	1512355349	0	1	1	1
Sun Dec 03 21:42:28 2017	1512355348	0	1	1	1
Sun Dec 03 21:42:30 2017	1512355350	0	1	1	1
Sun Dec 03 21:42:28 2017	1512355348	0	1	1	1
Sun Dec 03 21:42:28 2017	1512355348	0	1	1	1
Sun Dec 03 21:42:30 2017	1512355350	0	1	1	1
Sun Dec 03 21:42:29 2017	1512355349	0	1	1	1
Sun Dec 03 21:42:28 2017	1512355348	0	1	1	1
Sun Dec 03 21:42:30 2017	1512355350	0	1	1	1
Sun Dec 03 21:42:29 2017	1512355349	0	1	1	1
Sun Dec 03 21:42:28 2017	1512355348	0	1	1	1
Sun Dec 03 21:42:28 2017	1512355348	0	1	1	1
Sun Dec 03 21:42:27 2017	1512355347	0	1	1	1
Sun Dec 03 21:42:26 2017	1512355346	0	1	1	1
Sun Dec 03 21:42:29 2017	1512355349	0	1	1	1
Sun Dec 03 21:42:29 2017	1512355349	0	1	1	1
Sun Dec 03 21:42:26 2017	1512355346	0	1	1	1
Sun Dec 03 21:42:30 2017	1512355350	0	1	1	1
