starttime	seconds	ctime	dtime	ttime	wait
Wed Dec 06 13:44:43 2017	1512585883	0	1	1	1
Wed Dec 06 13:44:42 2017	1512585882	0	1	1	1
Wed Dec 06 13:44:43 2017	1512585883	0	1	1	1
Wed Dec 06 13:44:42 2017	1512585882	0	1	1	1
Wed Dec 06 13:44:43 2017	1512585883	0	1	1	1
Wed Dec 06 13:44:43 2017	1512585883	0	1	1	1
Wed Dec 06 13:44:43 2017	1512585883	0	1	1	1
Wed Dec 06 13:44:42 2017	1512585882	0	1	1	1
Wed Dec 06 13:44:43 2017	1512585883	0	1	1	1
Wed Dec 06 13:44:43 2017	1512585883	0	1	1	1
Wed Dec 06 13:44:42 2017	1512585882	0	1	1	1
Wed Dec 06 13:44:43 2017	1512585883	0	1	1	1
Wed Dec 06 13:44:42 2017	1512585882	0	1	1	1
Wed Dec 06 13:44:43 2017	1512585883	0	1	1	1
Wed Dec 06 13:44:41 2017	1512585881	0	1	1	1
Wed Dec 06 13:44:41 2017	1512585881	0	1	1	1
Wed Dec 06 13:44:43 2017	1512585883	0	1	1	1
Wed Dec 06 13:44:42 2017	1512585882	0	1	1	1
Wed Dec 06 13:44:43 2017	1512585883	0	1	1	1
Wed Dec 06 13:44:43 2017	1512585883	0	1	1	1
Wed Dec 06 13:44:43 2017	1512585883	0	1	1	1
Wed Dec 06 13:44:43 2017	1512585883	0	1	1	1
Wed Dec 06 13:44:40 2017	1512585880	0	1	1	1
Wed Dec 06 13:44:41 2017	1512585881	0	1	1	1
Wed Dec 06 13:44:43 2017	1512585883	0	1	1	1
Wed Dec 06 13:44:42 2017	1512585882	0	1	1	1
Wed Dec 06 13:44:42 2017	1512585882	0	1	1	1
Wed Dec 06 13:44:43 2017	1512585883	0	1	1	1
Wed Dec 06 13:44:42 2017	1512585882	0	1	1	1
Wed Dec 06 13:44:42 2017	1512585882	1	1	1	1
Wed Dec 06 13:44:40 2017	1512585880	0	1	1	1
Wed Dec 06 13:44:42 2017	1512585882	0	1	2	1
Wed Dec 06 13:44:43 2017	1512585883	1	1	2	1
Wed Dec 06 13:44:40 2017	1512585880	1	1	2	1
Wed Dec 06 13:44:42 2017	1512585882	0	1	2	1
Wed Dec 06 13:44:43 2017	1512585883	0	1	2	1
Wed Dec 06 13:44:43 2017	1512585883	0	1	2	1
Wed Dec 06 13:44:43 2017	1512585883	0	1	2	1
Wed Dec 06 13:44:42 2017	1512585882	0	1	2	1
Wed Dec 06 13:44:43 2017	1512585883	0	1	2	1
Wed Dec 06 13:44:43 2017	1512585883	0	1	2	1
Wed Dec 06 13:44:42 2017	1512585882	0	1	2	1
Wed Dec 06 13:44:43 2017	1512585883	0	1	2	1
Wed Dec 06 13:44:42 2017	1512585882	1	1	2	1
Wed Dec 06 13:44:40 2017	1512585880	0	1	2	1
Wed Dec 06 13:44:43 2017	1512585883	1	1	2	1
Wed Dec 06 13:44:41 2017	1512585881	0	1	2	1
Wed Dec 06 13:44:42 2017	1512585882	0	1	2	1
Wed Dec 06 13:44:42 2017	1512585882	0	1	2	1
Wed Dec 06 13:44:43 2017	1512585883	1	1	2	1
Wed Dec 06 13:44:43 2017	1512585883	1	1	2	1
Wed Dec 06 13:44:43 2017	1512585883	1	1	2	1
Wed Dec 06 13:44:42 2017	1512585882	0	1	2	1
Wed Dec 06 13:44:43 2017	1512585883	1	1	2	1
Wed Dec 06 13:44:43 2017	1512585883	1	1	2	1
Wed Dec 06 13:44:43 2017	1512585883	1	1	2	1
Wed Dec 06 13:44:43 2017	1512585883	0	2	2	1
Wed Dec 06 13:44:43 2017	1512585883	0	2	2	1
Wed Dec 06 13:44:43 2017	1512585883	1	1	2	1
Wed Dec 06 13:44:43 2017	1512585883	1	1	2	1
Wed Dec 06 13:44:42 2017	1512585882	0	2	2	2
Wed Dec 06 13:44:43 2017	1512585883	0	2	2	2
Wed Dec 06 13:44:43 2017	1512585883	0	2	2	1
Wed Dec 06 13:44:41 2017	1512585881	0	2	2	2
Wed Dec 06 13:44:42 2017	1512585882	1	1	2	1
Wed Dec 06 13:44:42 2017	1512585882	0	2	2	1
Wed Dec 06 13:44:42 2017	1512585882	0	2	2	2
Wed Dec 06 13:44:42 2017	1512585882	0	2	2	2
Wed Dec 06 13:44:40 2017	1512585880	1	1	2	1
Wed Dec 06 13:44:43 2017	1512585883	0	2	2	2
Wed Dec 06 13:44:43 2017	1512585883	1	1	2	1
Wed Dec 06 13:44:43 2017	1512585883	0	2	2	2
Wed Dec 06 13:44:41 2017	1512585881	0	2	2	2
Wed Dec 06 13:44:41 2017	1512585881	0	2	2	2
Wed Dec 06 13:44:43 2017	1512585883	1	1	2	1
Wed Dec 06 13:44:42 2017	1512585882	1	2	2	2
Wed Dec 06 13:44:42 2017	1512585882	1	2	2	2
Wed Dec 06 13:44:42 2017	1512585882	1	2	2	1
Wed Dec 06 13:44:43 2017	1512585883	1	2	2	2
Wed Dec 06 13:44:43 2017	1512585883	0	2	2	2
Wed Dec 06 13:44:42 2017	1512585882	0	2	2	2
Wed Dec 06 13:44:42 2017	1512585882	1	1	2	1
Wed Dec 06 13:44:43 2017	1512585883	0	2	2	2
Wed Dec 06 13:44:42 2017	1512585882	0	2	2	2
Wed Dec 06 13:44:41 2017	1512585881	0	2	2	2
Wed Dec 06 13:44:43 2017	1512585883	1	2	2	2
Wed Dec 06 13:44:42 2017	1512585882	0	2	2	2
Wed Dec 06 13:44:41 2017	1512585881	1	2	2	2
Wed Dec 06 13:44:41 2017	1512585881	1	2	2	2
Wed Dec 06 13:44:43 2017	1512585883	1	2	3	2
Wed Dec 06 13:44:43 2017	1512585883	1	2	3	2
Wed Dec 06 13:44:43 2017	1512585883	0	2	3	2
Wed Dec 06 13:44:42 2017	1512585882	1	2	3	2
Wed Dec 06 13:44:42 2017	1512585882	0	2	3	2
Wed Dec 06 13:44:40 2017	1512585880	0	2	3	2
Wed Dec 06 13:44:43 2017	1512585883	0	2	3	2
Wed Dec 06 13:44:43 2017	1512585883	0	2	3	2
Wed Dec 06 13:44:43 2017	1512585883	0	2	3	2
Wed Dec 06 13:44:43 2017	1512585883	1	2	3	2
Wed Dec 06 13:44:42 2017	1512585882	0	2	3	2
Wed Dec 06 13:44:43 2017	1512585883	1	2	3	2
Wed Dec 06 13:44:42 2017	1512585882	1	2	3	2
Wed Dec 06 13:44:41 2017	1512585881	0	2	3	2
Wed Dec 06 13:44:40 2017	1512585880	1	2	3	2
Wed Dec 06 13:44:43 2017	1512585883	1	2	3	2
Wed Dec 06 13:44:43 2017	1512585883	0	2	3	2
Wed Dec 06 13:44:42 2017	1512585882	0	2	3	2
Wed Dec 06 13:44:43 2017	1512585883	0	2	3	2
Wed Dec 06 13:44:43 2017	1512585883	0	2	3	2
Wed Dec 06 13:44:43 2017	1512585883	0	2	3	2
Wed Dec 06 13:44:40 2017	1512585880	0	2	3	2
Wed Dec 06 13:44:42 2017	1512585882	1	2	3	2
Wed Dec 06 13:44:43 2017	1512585883	0	2	3	2
Wed Dec 06 13:44:42 2017	1512585882	0	2	3	2
Wed Dec 06 13:44:43 2017	1512585883	1	2	3	2
Wed Dec 06 13:44:42 2017	1512585882	1	2	3	2
Wed Dec 06 13:44:43 2017	1512585883	0	2	3	2
Wed Dec 06 13:44:43 2017	1512585883	1	2	3	2
Wed Dec 06 13:44:42 2017	1512585882	1	2	3	2
Wed Dec 06 13:44:42 2017	1512585882	1	2	3	2
Wed Dec 06 13:44:42 2017	1512585882	1	2	3	2
Wed Dec 06 13:44:43 2017	1512585883	1	2	3	2
Wed Dec 06 13:44:42 2017	1512585882	0	2	3	2
Wed Dec 06 13:44:41 2017	1512585881	0	2	3	2
Wed Dec 06 13:44:43 2017	1512585883	0	2	3	2
Wed Dec 06 13:44:43 2017	1512585883	0	3	3	2
Wed Dec 06 13:44:40 2017	1512585880	1	2	3	2
Wed Dec 06 13:44:43 2017	1512585883	0	3	3	2
Wed Dec 06 13:44:43 2017	1512585883	1	2	3	2
Wed Dec 06 13:44:41 2017	1512585881	1	2	3	2
Wed Dec 06 13:44:41 2017	1512585881	1	2	3	2
Wed Dec 06 13:44:42 2017	1512585882	1	2	3	2
Wed Dec 06 13:44:43 2017	1512585883	1	2	3	2
Wed Dec 06 13:44:43 2017	1512585883	1	2	3	2
Wed Dec 06 13:44:42 2017	1512585882	1	2	3	2
Wed Dec 06 13:44:42 2017	1512585882	0	3	3	3
Wed Dec 06 13:44:42 2017	1512585882	1	3	3	3
Wed Dec 06 13:44:41 2017	1512585881	0	3	3	3
Wed Dec 06 13:44:41 2017	1512585881	1	2	3	2
Wed Dec 06 13:44:41 2017	1512585881	1	2	3	2
Wed Dec 06 13:44:43 2017	1512585883	1	2	3	2
Wed Dec 06 13:44:43 2017	1512585883	1	2	3	2
Wed Dec 06 13:44:42 2017	1512585882	1	2	3	2
Wed Dec 06 13:44:42 2017	1512585882	1	2	3	2
Wed Dec 06 13:44:42 2017	1512585882	1	2	3	2
Wed Dec 06 13:44:42 2017	1512585882	1	2	3	2
Wed Dec 06 13:44:43 2017	1512585883	1	3	3	3
Wed Dec 06 13:44:40 2017	1512585880	1	3	3	3
Wed Dec 06 13:44:43 2017	1512585883	1	2	3	2
Wed Dec 06 13:44:42 2017	1512585882	1	2	3	2
Wed Dec 06 13:44:43 2017	1512585883	0	3	3	3
Wed Dec 06 13:44:42 2017	1512585882	0	3	3	3
Wed Dec 06 13:44:42 2017	1512585882	1	2	3	2
