starttime	seconds	ctime	dtime	ttime	wait
Wed Dec 06 13:44:21 2017	1512585861	0	1	1	1
Wed Dec 06 13:44:21 2017	1512585861	0	1	1	1
Wed Dec 06 13:44:20 2017	1512585860	0	1	1	1
Wed Dec 06 13:44:20 2017	1512585860	0	1	1	1
Wed Dec 06 13:44:23 2017	1512585863	0	1	1	1
Wed Dec 06 13:44:21 2017	1512585861	0	1	1	1
Wed Dec 06 13:44:22 2017	1512585862	0	1	1	1
Wed Dec 06 13:44:22 2017	1512585862	0	1	1	1
Wed Dec 06 13:44:23 2017	1512585863	0	1	1	1
Wed Dec 06 13:44:22 2017	1512585862	0	1	1	1
Wed Dec 06 13:44:21 2017	1512585861	0	1	1	1
Wed Dec 06 13:44:25 2017	1512585865	0	1	1	1
Wed Dec 06 13:44:20 2017	1512585860	0	1	1	1
Wed Dec 06 13:44:21 2017	1512585861	0	1	1	1
Wed Dec 06 13:44:22 2017	1512585862	0	1	1	1
Wed Dec 06 13:44:21 2017	1512585861	0	1	1	1
Wed Dec 06 13:44:21 2017	1512585861	1	1	2	1
Wed Dec 06 13:44:22 2017	1512585862	0	1	2	1
Wed Dec 06 13:44:24 2017	1512585864	1	1	2	1
Wed Dec 06 13:44:21 2017	1512585861	1	1	2	1
Wed Dec 06 13:44:25 2017	1512585865	0	1	2	1
Wed Dec 06 13:44:21 2017	1512585861	1	1	2	1
Wed Dec 06 13:44:21 2017	1512585861	1	1	2	1
Wed Dec 06 13:44:21 2017	1512585861	0	1	2	1
Wed Dec 06 13:44:21 2017	1512585861	1	1	2	1
Wed Dec 06 13:44:23 2017	1512585863	1	1	2	1
Wed Dec 06 13:44:22 2017	1512585862	0	1	2	1
Wed Dec 06 13:44:25 2017	1512585865	0	1	2	1
Wed Dec 06 13:44:25 2017	1512585865	1	1	2	1
Wed Dec 06 13:44:21 2017	1512585861	0	1	2	1
Wed Dec 06 13:44:20 2017	1512585860	1	1	2	1
Wed Dec 06 13:44:20 2017	1512585860	1	1	2	1
Wed Dec 06 13:44:19 2017	1512585859	1	1	2	1
Wed Dec 06 13:44:20 2017	1512585860	1	1	2	1
Wed Dec 06 13:44:19 2017	1512585859	1	1	2	1
Wed Dec 06 13:44:24 2017	1512585864	1	1	2	1
Wed Dec 06 13:44:19 2017	1512585859	1	1	2	1
Wed Dec 06 13:44:19 2017	1512585859	1	1	2	1
Wed Dec 06 13:44:19 2017	1512585859	1	1	2	1
Wed Dec 06 13:44:21 2017	1512585861	1	1	2	1
Wed Dec 06 13:44:21 2017	1512585861	1	1	2	1
Wed Dec 06 13:44:21 2017	1512585861	0	1	2	1
Wed Dec 06 13:44:22 2017	1512585862	0	1	2	1
Wed Dec 06 13:44:20 2017	1512585860	0	1	2	1
Wed Dec 06 13:44:19 2017	1512585859	1	1	2	1
Wed Dec 06 13:44:21 2017	1512585861	1	1	2	1
Wed Dec 06 13:44:23 2017	1512585863	1	1	2	1
Wed Dec 06 13:44:25 2017	1512585865	0	1	2	1
Wed Dec 06 13:44:19 2017	1512585859	1	1	2	1
Wed Dec 06 13:44:20 2017	1512585860	0	2	2	2
Wed Dec 06 13:44:24 2017	1512585864	0	2	2	1
Wed Dec 06 13:44:22 2017	1512585862	1	1	2	1
Wed Dec 06 13:44:21 2017	1512585861	0	2	2	2
Wed Dec 06 13:44:20 2017	1512585860	1	1	2	1
Wed Dec 06 13:44:25 2017	1512585865	0	2	2	1
Wed Dec 06 13:44:18 2017	1512585858	1	1	2	1
Wed Dec 06 13:44:22 2017	1512585862	1	1	2	1
Wed Dec 06 13:44:25 2017	1512585865	0	2	2	2
Wed Dec 06 13:44:18 2017	1512585858	1	1	2	1
Wed Dec 06 13:44:23 2017	1512585863	0	2	2	2
Wed Dec 06 13:44:21 2017	1512585861	1	1	2	1
Wed Dec 06 13:44:18 2017	1512585858	1	1	2	1
Wed Dec 06 13:44:25 2017	1512585865	0	2	2	2
Wed Dec 06 13:44:22 2017	1512585862	0	2	2	2
Wed Dec 06 13:44:18 2017	1512585858	1	1	2	1
Wed Dec 06 13:44:24 2017	1512585864	1	2	2	2
Wed Dec 06 13:44:24 2017	1512585864	1	1	2	1
Wed Dec 06 13:44:25 2017	1512585865	0	2	2	2
Wed Dec 06 13:44:25 2017	1512585865	1	2	2	2
Wed Dec 06 13:44:21 2017	1512585861	1	1	2	1
Wed Dec 06 13:44:24 2017	1512585864	1	1	2	1
Wed Dec 06 13:44:25 2017	1512585865	0	2	2	2
Wed Dec 06 13:44:22 2017	1512585862	1	1	2	1
Wed Dec 06 13:44:25 2017	1512585865	0	2	2	2
Wed Dec 06 13:44:18 2017	1512585858	1	1	2	1
Wed Dec 06 13:44:21 2017	1512585861	1	1	2	1
Wed Dec 06 13:44:20 2017	1512585860	0	2	2	2
Wed Dec 06 13:44:20 2017	1512585860	0	2	2	2
Wed Dec 06 13:44:21 2017	1512585861	0	2	2	2
Wed Dec 06 13:44:22 2017	1512585862	1	2	2	2
Wed Dec 06 13:44:22 2017	1512585862	1	2	2	2
Wed Dec 06 13:44:21 2017	1512585861	0	2	2	2
Wed Dec 06 13:44:25 2017	1512585865	0	2	2	2
Wed Dec 06 13:44:18 2017	1512585858	1	1	2	1
Wed Dec 06 13:44:22 2017	1512585862	1	1	2	1
Wed Dec 06 13:44:22 2017	1512585862	1	1	2	1
Wed Dec 06 13:44:23 2017	1512585863	1	2	2	2
Wed Dec 06 13:44:20 2017	1512585860	0	2	2	2
Wed Dec 06 13:44:21 2017	1512585861	0	2	2	2
Wed Dec 06 13:44:18 2017	1512585858	1	1	2	1
Wed Dec 06 13:44:21 2017	1512585861	1	2	2	2
Wed Dec 06 13:44:23 2017	1512585863	1	1	2	1
Wed Dec 06 13:44:24 2017	1512585864	1	2	2	2
Wed Dec 06 13:44:18 2017	1512585858	1	1	2	1
Wed Dec 06 13:44:24 2017	1512585864	1	2	2	1
Wed Dec 06 13:44:25 2017	1512585865	0	2	2	2
Wed Dec 06 13:44:21 2017	1512585861	0	2	2	2
Wed Dec 06 13:44:21 2017	1512585861	0	2	2	2
Wed Dec 06 13:44:23 2017	1512585863	0	2	2	2
Wed Dec 06 13:44:20 2017	1512585860	0	2	2	2
Wed Dec 06 13:44:21 2017	1512585861	1	2	2	2
Wed Dec 06 13:44:22 2017	1512585862	0	2	2	2
Wed Dec 06 13:44:21 2017	1512585861	0	2	2	2
Wed Dec 06 13:44:23 2017	1512585863	1	2	2	1
Wed Dec 06 13:44:22 2017	1512585862	0	2	2	2
Wed Dec 06 13:44:22 2017	1512585862	1	1	2	1
Wed Dec 06 13:44:21 2017	1512585861	1	2	2	2
Wed Dec 06 13:44:21 2017	1512585861	1	2	2	2
Wed Dec 06 13:44:21 2017	1512585861	0	2	2	2
Wed Dec 06 13:44:20 2017	1512585860	1	2	2	2
Wed Dec 06 13:44:21 2017	1512585861	0	2	2	2
Wed Dec 06 13:44:25 2017	1512585865	0	2	2	2
Wed Dec 06 13:44:24 2017	1512585864	0	2	2	2
Wed Dec 06 13:44:25 2017	1512585865	0	2	2	2
Wed Dec 06 13:44:25 2017	1512585865	1	2	2	2
Wed Dec 06 13:44:21 2017	1512585861	1	2	2	2
Wed Dec 06 13:44:22 2017	1512585862	1	2	2	2
Wed Dec 06 13:44:22 2017	1512585862	0	2	2	2
Wed Dec 06 13:44:20 2017	1512585860	1	2	2	2
Wed Dec 06 13:44:22 2017	1512585862	1	2	2	2
Wed Dec 06 13:44:22 2017	1512585862	1	2	2	2
Wed Dec 06 13:44:21 2017	1512585861	1	2	2	2
Wed Dec 06 13:44:22 2017	1512585862	0	2	2	2
Wed Dec 06 13:44:21 2017	1512585861	0	2	2	2
Wed Dec 06 13:44:23 2017	1512585863	1	2	2	2
Wed Dec 06 13:44:19 2017	1512585859	1	2	2	2
Wed Dec 06 13:44:21 2017	1512585861	1	2	2	2
Wed Dec 06 13:44:21 2017	1512585861	1	2	3	2
Wed Dec 06 13:44:22 2017	1512585862	1	2	3	2
Wed Dec 06 13:44:21 2017	1512585861	1	2	3	2
Wed Dec 06 13:44:21 2017	1512585861	1	2	3	1
Wed Dec 06 13:44:21 2017	1512585861	0	2	3	2
Wed Dec 06 13:44:22 2017	1512585862	1	2	3	2
Wed Dec 06 13:44:24 2017	1512585864	1	2	3	2
Wed Dec 06 13:44:24 2017	1512585864	1	2	3	2
Wed Dec 06 13:44:25 2017	1512585865	0	2	3	2
Wed Dec 06 13:44:21 2017	1512585861	0	2	3	2
Wed Dec 06 13:44:20 2017	1512585860	1	1	3	1
Wed Dec 06 13:44:20 2017	1512585860	1	2	3	2
Wed Dec 06 13:44:24 2017	1512585864	1	2	3	2
Wed Dec 06 13:44:20 2017	1512585860	1	2	3	2
Wed Dec 06 13:44:25 2017	1512585865	0	2	3	2
Wed Dec 06 13:44:21 2017	1512585861	1	2	3	2
Wed Dec 06 13:44:21 2017	1512585861	1	2	3	2
Wed Dec 06 13:44:21 2017	1512585861	1	2	3	2
Wed Dec 06 13:44:19 2017	1512585859	1	2	3	2
Wed Dec 06 13:44:22 2017	1512585862	1	2	3	2
Wed Dec 06 13:44:21 2017	1512585861	1	2	3	2
Wed Dec 06 13:44:20 2017	1512585860	1	2	3	2
Wed Dec 06 13:44:22 2017	1512585862	1	2	3	2
Wed Dec 06 13:44:25 2017	1512585865	1	2	3	2
Wed Dec 06 13:44:24 2017	1512585864	1	2	3	2
Wed Dec 06 13:44:21 2017	1512585861	1	2	3	2
Wed Dec 06 13:44:21 2017	1512585861	0	2	3	2
Wed Dec 06 13:44:21 2017	1512585861	1	2	3	1
Wed Dec 06 13:44:21 2017	1512585861	1	2	3	2
Wed Dec 06 13:44:18 2017	1512585858	1	1	3	1
Wed Dec 06 13:44:22 2017	1512585862	1	2	3	2
Wed Dec 06 13:44:21 2017	1512585861	1	2	3	2
Wed Dec 06 13:44:19 2017	1512585859	1	1	3	1
Wed Dec 06 13:44:21 2017	1512585861	1	2	3	2
Wed Dec 06 13:44:20 2017	1512585860	1	2	3	2
Wed Dec 06 13:44:22 2017	1512585862	1	1	3	1
Wed Dec 06 13:44:21 2017	1512585861	1	2	3	2
Wed Dec 06 13:44:21 2017	1512585861	1	2	3	2
Wed Dec 06 13:44:25 2017	1512585865	0	2	3	2
Wed Dec 06 13:44:21 2017	1512585861	1	2	3	2
Wed Dec 06 13:44:21 2017	1512585861	1	2	3	2
Wed Dec 06 13:44:21 2017	1512585861	0	2	3	2
Wed Dec 06 13:44:21 2017	1512585861	1	2	3	2
Wed Dec 06 13:44:20 2017	1512585860	0	2	3	2
Wed Dec 06 13:44:19 2017	1512585859	1	2	3	2
Wed Dec 06 13:44:24 2017	1512585864	0	2	3	2
Wed Dec 06 13:44:19 2017	1512585859	1	2	3	2
Wed Dec 06 13:44:25 2017	1512585865	1	2	3	2
Wed Dec 06 13:44:20 2017	1512585860	0	2	3	2
Wed Dec 06 13:44:22 2017	1512585862	1	2	3	2
Wed Dec 06 13:44:25 2017	1512585865	1	2	3	2
Wed Dec 06 13:44:21 2017	1512585861	0	2	3	2
Wed Dec 06 13:44:21 2017	1512585861	0	2	3	2
Wed Dec 06 13:44:20 2017	1512585860	1	2	3	2
Wed Dec 06 13:44:24 2017	1512585864	1	2	3	2
Wed Dec 06 13:44:21 2017	1512585861	1	2	3	2
Wed Dec 06 13:44:25 2017	1512585865	1	2	3	2
Wed Dec 06 13:44:08 2017	1512585848	1	2	3	2
Wed Dec 06 13:44:22 2017	1512585862	0	2	3	2
Wed Dec 06 13:44:22 2017	1512585862	1	2	3	2
Wed Dec 06 13:44:19 2017	1512585859	1	2	3	2
Wed Dec 06 13:44:25 2017	1512585865	0	2	3	2
Wed Dec 06 13:44:20 2017	1512585860	0	2	3	2
Wed Dec 06 13:44:21 2017	1512585861	0	2	3	2
Wed Dec 06 13:44:21 2017	1512585861	1	2	3	2
Wed Dec 06 13:44:22 2017	1512585862	1	2	3	2
Wed Dec 06 13:44:20 2017	1512585860	1	2	3	2
Wed Dec 06 13:44:20 2017	1512585860	1	2	3	2
Wed Dec 06 13:44:25 2017	1512585865	0	2	3	2
Wed Dec 06 13:44:22 2017	1512585862	1	2	3	2
Wed Dec 06 13:44:25 2017	1512585865	1	2	3	2
Wed Dec 06 13:44:20 2017	1512585860	1	2	3	2
Wed Dec 06 13:44:18 2017	1512585858	1	2	3	2
Wed Dec 06 13:44:22 2017	1512585862	1	2	3	2
Wed Dec 06 13:44:22 2017	1512585862	1	2	3	2
Wed Dec 06 13:44:21 2017	1512585861	1	2	3	2
Wed Dec 06 13:44:24 2017	1512585864	1	2	3	2
Wed Dec 06 13:44:22 2017	1512585862	1	2	3	2
Wed Dec 06 13:44:22 2017	1512585862	1	2	3	2
Wed Dec 06 13:44:20 2017	1512585860	1	2	3	2
Wed Dec 06 13:44:21 2017	1512585861	1	2	3	2
Wed Dec 06 13:44:08 2017	1512585848	1	2	3	2
Wed Dec 06 13:44:22 2017	1512585862	1	2	3	2
Wed Dec 06 13:44:18 2017	1512585858	1	2	3	2
Wed Dec 06 13:44:19 2017	1512585859	0	3	3	2
Wed Dec 06 13:44:18 2017	1512585858	1	2	3	2
Wed Dec 06 13:44:21 2017	1512585861	1	2	3	2
Wed Dec 06 13:44:20 2017	1512585860	1	2	3	2
Wed Dec 06 13:44:21 2017	1512585861	0	3	3	3
Wed Dec 06 13:44:18 2017	1512585858	1	2	3	2
Wed Dec 06 13:44:25 2017	1512585865	1	2	3	2
Wed Dec 06 13:44:24 2017	1512585864	1	2	3	2
Wed Dec 06 13:44:22 2017	1512585862	1	2	3	2
Wed Dec 06 13:44:25 2017	1512585865	0	3	3	3
Wed Dec 06 13:44:18 2017	1512585858	1	2	3	2
Wed Dec 06 13:44:24 2017	1512585864	1	2	3	2
Wed Dec 06 13:44:21 2017	1512585861	1	2	3	2
Wed Dec 06 13:44:22 2017	1512585862	0	3	3	3
Wed Dec 06 13:44:25 2017	1512585865	1	2	3	2
Wed Dec 06 13:44:25 2017	1512585865	0	3	3	3
Wed Dec 06 13:44:21 2017	1512585861	0	3	3	3
Wed Dec 06 13:44:24 2017	1512585864	1	3	3	3
Wed Dec 06 13:44:21 2017	1512585861	1	2	3	2
Wed Dec 06 13:44:08 2017	1512585848	1	2	3	2
Wed Dec 06 13:44:25 2017	1512585865	1	2	3	2
Wed Dec 06 13:44:21 2017	1512585861	1	2	3	2
Wed Dec 06 13:44:23 2017	1512585863	1	2	3	2
Wed Dec 06 13:44:21 2017	1512585861	1	2	3	2
Wed Dec 06 13:44:21 2017	1512585861	1	3	3	2
Wed Dec 06 13:44:24 2017	1512585864	1	2	3	2
Wed Dec 06 13:44:20 2017	1512585860	0	3	3	3
Wed Dec 06 13:44:21 2017	1512585861	1	3	3	3
Wed Dec 06 13:44:21 2017	1512585861	0	3	3	3
Wed Dec 06 13:44:21 2017	1512585861	1	2	3	2
Wed Dec 06 13:44:23 2017	1512585863	1	2	3	2
Wed Dec 06 13:44:20 2017	1512585860	1	3	3	3
Wed Dec 06 13:44:24 2017	1512585864	1	2	3	2
Wed Dec 06 13:44:22 2017	1512585862	1	2	3	2
Wed Dec 06 13:44:19 2017	1512585859	1	3	3	2
Wed Dec 06 13:44:22 2017	1512585862	1	2	3	2
Wed Dec 06 13:44:24 2017	1512585864	1	2	3	2
Wed Dec 06 13:44:25 2017	1512585865	1	2	3	2
Wed Dec 06 13:44:19 2017	1512585859	1	2	3	2
Wed Dec 06 13:44:18 2017	1512585858	1	2	3	2
Wed Dec 06 13:44:21 2017	1512585861	1	2	3	2
Wed Dec 06 13:44:18 2017	1512585858	1	2	3	2
Wed Dec 06 13:44:21 2017	1512585861	1	2	3	2
Wed Dec 06 13:44:18 2017	1512585858	1	2	3	2
Wed Dec 06 13:44:21 2017	1512585861	1	2	3	2
Wed Dec 06 13:44:24 2017	1512585864	1	3	3	3
Wed Dec 06 13:44:24 2017	1512585864	1	3	3	3
Wed Dec 06 13:44:21 2017	1512585861	1	3	3	3
