starttime	seconds	ctime	dtime	ttime	wait
Sun Dec 03 21:43:41 2017	1512355421	0	1	1	1
Sun Dec 03 21:43:41 2017	1512355421	0	1	1	1
Sun Dec 03 21:43:41 2017	1512355421	0	1	1	1
Sun Dec 03 21:43:40 2017	1512355420	0	1	1	1
Sun Dec 03 21:43:41 2017	1512355421	0	1	1	1
Sun Dec 03 21:43:39 2017	1512355419	0	1	1	1
Sun Dec 03 21:43:41 2017	1512355421	0	1	1	1
Sun Dec 03 21:43:40 2017	1512355420	0	1	1	1
Sun Dec 03 21:43:39 2017	1512355419	0	1	1	1
Sun Dec 03 21:43:39 2017	1512355419	0	1	1	1
Sun Dec 03 21:43:39 2017	1512355419	0	1	1	1
Sun Dec 03 21:43:42 2017	1512355422	0	1	1	1
Sun Dec 03 21:43:39 2017	1512355419	0	1	1	1
Sun Dec 03 21:43:41 2017	1512355421	0	1	1	1
Sun Dec 03 21:43:39 2017	1512355419	0	1	1	1
Sun Dec 03 21:43:40 2017	1512355420	0	1	1	1
Sun Dec 03 21:43:40 2017	1512355420	0	1	1	1
Sun Dec 03 21:43:40 2017	1512355420	0	1	1	1
Sun Dec 03 21:43:40 2017	1512355420	0	1	1	1
Sun Dec 03 21:43:41 2017	1512355421	0	1	1	1
Sun Dec 03 21:43:40 2017	1512355420	0	1	1	1
Sun Dec 03 21:43:40 2017	1512355420	0	1	2	1
Sun Dec 03 21:43:40 2017	1512355420	0	1	2	1
Sun Dec 03 21:43:40 2017	1512355420	0	1	2	1
Sun Dec 03 21:43:39 2017	1512355419	0	1	2	1
Sun Dec 03 21:43:39 2017	1512355419	0	1	2	1
Sun Dec 03 21:43:40 2017	1512355420	0	1	2	1
Sun Dec 03 21:43:39 2017	1512355419	1	1	2	1
Sun Dec 03 21:43:42 2017	1512355422	0	1	2	1
Sun Dec 03 21:43:41 2017	1512355421	0	1	2	1
Sun Dec 03 21:43:39 2017	1512355419	0	1	2	1
Sun Dec 03 21:43:39 2017	1512355419	1	1	2	1
Sun Dec 03 21:43:43 2017	1512355423	1	1	2	1
Sun Dec 03 21:43:41 2017	1512355421	0	1	2	1
Sun Dec 03 21:43:40 2017	1512355420	1	1	2	1
Sun Dec 03 21:43:41 2017	1512355421	0	1	2	1
Sun Dec 03 21:43:37 2017	1512355417	1	1	2	1
Sun Dec 03 21:43:39 2017	1512355419	1	1	2	1
Sun Dec 03 21:43:40 2017	1512355420	0	1	2	1
Sun Dec 03 21:43:42 2017	1512355422	1	1	2	1
Sun Dec 03 21:43:40 2017	1512355420	1	1	2	1
Sun Dec 03 21:43:39 2017	1512355419	0	1	2	1
Sun Dec 03 21:43:42 2017	1512355422	0	1	2	1
Sun Dec 03 21:43:39 2017	1512355419	0	1	2	1
Sun Dec 03 21:43:39 2017	1512355419	0	1	2	1
Sun Dec 03 21:43:37 2017	1512355417	1	1	2	1
Sun Dec 03 21:43:42 2017	1512355422	1	1	2	1
Sun Dec 03 21:43:40 2017	1512355420	0	1	2	1
Sun Dec 03 21:43:42 2017	1512355422	0	2	2	1
Sun Dec 03 21:43:40 2017	1512355420	0	1	2	1
Sun Dec 03 21:43:42 2017	1512355422	0	2	2	1
Sun Dec 03 21:43:40 2017	1512355420	1	1	2	1
Sun Dec 03 21:43:43 2017	1512355423	0	2	2	2
Sun Dec 03 21:43:41 2017	1512355421	0	2	2	2
Sun Dec 03 21:43:40 2017	1512355420	0	2	2	2
Sun Dec 03 21:43:42 2017	1512355422	0	2	2	2
Sun Dec 03 21:43:39 2017	1512355419	1	1	2	1
Sun Dec 03 21:43:39 2017	1512355419	0	2	2	2
Sun Dec 03 21:43:42 2017	1512355422	0	2	2	1
Sun Dec 03 21:43:40 2017	1512355420	0	2	2	2
Sun Dec 03 21:43:43 2017	1512355423	1	2	2	1
Sun Dec 03 21:43:39 2017	1512355419	0	2	2	2
Sun Dec 03 21:43:42 2017	1512355422	0	2	2	2
Sun Dec 03 21:43:42 2017	1512355422	0	2	2	1
Sun Dec 03 21:43:42 2017	1512355422	1	1	2	1
Sun Dec 03 21:43:41 2017	1512355421	1	1	2	1
Sun Dec 03 21:43:43 2017	1512355423	0	2	2	2
Sun Dec 03 21:43:40 2017	1512355420	0	2	2	2
Sun Dec 03 21:43:39 2017	1512355419	0	2	2	2
Sun Dec 03 21:43:39 2017	1512355419	0	2	2	2
Sun Dec 03 21:43:39 2017	1512355419	0	2	2	2
Sun Dec 03 21:43:42 2017	1512355422	0	2	2	2
Sun Dec 03 21:43:40 2017	1512355420	0	2	2	2
